PFFD_price,PFF_price,PFFD_price_chg,PFF_price_chg,PFF/PFFD,PFF/PFF,PFF/PFFD_moving_avg,PFF/PFF_moving_avg,PFF/PFFD_prev_moving_avg,PFF/PFF_prev_moving_avg,PFFD_scaled_price,PFF_scaled_price,PFFD_scaled_comm,PFF_scaled_comm,PFFD_scaled_price_minus_comm,PFF_scaled_price_minus_comm,PFFD_scaled_price_plus_comm,PFF_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,PFFD_shs_per_unit,PFF_shs_per_unit,PFFD_current_shs,PFF_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,PFFD_tgt_shs,PFF_tgt_shs,PFFD_tgt_inv_amt,PFF_tgt_inv_amt,gross_inv_amt,net_inv_amt,PFFD_shs_to_trade,PFF_shs_to_trade,PFFD_shs_to_buy,PFF_shs_to_buy,PFFD_shs_to_sell,PFF_shs_to_sell,PFFD_daily_comm,PFF_daily_comm,daily_comm,PFFD_daily_profit,PFF_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
19.27,31.4,-0.05000000000000071,-0.0400000000000027,1.6294758692267772,1.0,1.630438605731308,1.0,1.6305616709087125,1.0,31.42092339841089,31.4,0.008152808354543562,0.005,31.412770590056343,31.395,31.429076206765433,31.404999999999998,31.404999999999998,31.412770590056343,0.0077705900563458385,0.00024747102090273373,PFF,PFFD,2025-08-15,False,5193.0,3185.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,351.88000000001955
19.33,31.49,0.05999999999999872,0.08999999999999986,1.629073978272116,1.0,1.630229135704725,1.0,1.630438605731308,1.0,31.516378248786182,31.49,0.008152193028656541,0.005,31.508226055757525,31.485,31.52453044181484,31.494999999999997,31.494999999999997,31.508226055757525,0.013226055757527888,0.0004200081218649695,PFF,PFFD,2025-08-18,False,5178.0,3176.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,351.88000000001955
19.4,31.5,0.07000000000000028,0.010000000000001563,1.6237113402061858,1.0,1.6298702000972334,1.0,1.630229135704725,1.0,31.62644523267166,31.5,0.008151145678523625,0.005,31.618294086993135,31.495,31.634596378350185,31.505,31.505,31.618294086993135,0.11329408699313603,0.0035966376823217787,PFF,PFFD,2025-08-19,False,5176.0,3175.0,0.0,0.0,,,0.0,0.0,0.0,False,False,False,-0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,351.88000000001955
19.38,31.46,-0.019999999999999574,-0.03999999999999915,1.6233230134158927,1.0,1.6295111935353233,1.0,1.6298702000972334,1.0,31.586884477884382,31.46,0.008149351000486168,0.005,31.578735126883895,31.455000000000002,31.59503382888487,31.465,31.465,31.578735126883895,0.11373512688389553,0.0036152297165891775,PFF,PFFD,2025-08-20,False,5181.0,3179.0,0.0,0.0,,,0.0,0.0,-0.0,False,False,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,351.88000000001955
19.36,31.49,-0.019999999999999574,0.029999999999997584,1.6265495867768596,1.0,1.6292183267808262,1.0,1.6295111935353233,1.0,31.547336706843858,31.49,0.008147555967676617,0.005,31.53918915087618,31.485,31.555484262811536,31.494999999999997,31.494999999999997,31.53918915087618,0.044189150876182026,0.0014032756708854247,PFF,PFFD,2025-08-21,False,5175.0,3176.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,351.88000000001955
19.51,31.72,0.15000000000000213,0.23000000000000043,1.6258329062019474,1.0,1.628929647653456,1.0,1.6292183267808262,1.0,31.78604955549392,31.72,0.008146091633904132,0.005,31.777903463860017,31.715,31.794195647127825,31.724999999999998,31.724999999999998,31.777903463860017,0.05290346386001943,0.0016678267295088093,PFF,PFFD,2025-08-22,False,5137.0,3153.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,351.88000000001955
19.46,31.61,-0.05000000000000071,-0.10999999999999943,1.6243576567317572,1.0,1.6285271843967037,1.0,1.628929647653456,1.0,31.698970943336256,31.61,0.00814464823826728,0.005,31.690826295097988,31.605,31.707115591574524,31.615,31.615,31.690826295097988,0.07582629509798977,0.002398807184371711,PFF,PFFD,2025-08-25,False,5154.0,3164.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,351.88000000001955
19.43,31.61,-0.030000000000001137,0.0,1.626865671641791,1.0,1.6283464596280628,1.0,1.6285271843967037,1.0,31.642283192827954,31.61,0.00814263592198352,0.005,31.63414055690597,31.605,31.65042582874994,31.615,31.615,31.63414055690597,0.019140556905970385,0.0006055222051872947,PFF,PFFD,2025-08-26,False,5153.0,3164.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,351.88000000001955
19.46,31.63,0.030000000000001137,0.019999999999999574,1.6253854059609454,1.0,1.6279333399890032,1.0,1.6283464596280628,1.0,31.687622104362102,31.63,0.008141732298140313,0.005,31.679480372063964,31.625,31.69576383666024,31.634999999999998,31.634999999999998,31.679480372063964,0.04448037206396549,0.0014062716428696015,PFF,PFFD,2025-08-27,False,5149.0,3162.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,351.88000000001955
19.46,31.62,0.0,-0.00999999999999801,1.6248715313463515,1.0,1.6275842272612813,1.0,1.6279333399890032,1.0,31.679582796186004,31.62,0.008139666699945017,0.005,31.671443129486057,31.615000000000002,31.68772246288595,31.625,31.625,31.671443129486057,0.046443129486057444,0.0014687896738158584,PFF,PFFD,2025-08-28,False,5149.0,3163.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,351.88000000001955
19.35,31.46,-0.10999999999999943,-0.16000000000000014,1.6258397932816537,1.0,1.6273207781444916,1.0,1.6275842272612813,1.0,31.493754797505794,31.46,0.008137921136306406,0.005,31.485616876369487,31.455000000000002,31.5018927186421,31.465,31.465,31.485616876369487,0.020616876369487613,0.0006553361846626704,PFF,PFFD,2025-08-29,False,5174.0,3179.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,351.88000000001955
19.28,31.31,-0.07000000000000028,-0.15000000000000213,1.6239626556016595,1.0,1.6268835922202904,1.0,1.6273207781444916,1.0,31.3747446026258,31.31,0.008136603890722459,0.005,31.366607998735077,31.305,31.382881206516522,31.314999999999998,31.314999999999998,31.366607998735077,0.051607998735079263,0.0016482912403410815,PFF,PFFD,2025-09-02,True,5198.0,3194.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,351.88000000001955
19.28,31.38,0.0,0.07000000000000028,1.6275933609958504,1.0,1.6266898154190639,1.0,1.6268835922202904,1.0,31.366315658007203,31.38,0.008134417961101452,0.005,31.3581812400461,31.375,31.374450075968305,31.384999999999998,31.374450075968305,31.375,0.0005499240316950704,1.7524666402009892e-05,PFFD,PFF,2025-09-03,False,5185.0,3187.0,0.0,0.0,,,0.0,0.0,0.0,False,True,True,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,351.88000000001955
19.36,31.5,0.0799999999999983,0.120000000000001,1.6270661157024793,1.0,1.6265247965968581,1.0,1.6266898154190639,1.0,31.492714826513076,31.5,0.008133449077095319,0.005,31.48458137743598,31.495,31.500848275590172,31.505,31.500848275590172,31.495,-0.005848275590171426,-0.00018565954254512462,PFFD,PFF,2025-09-04,False,5165.0,3175.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,351.88000000001955
19.5,31.72,0.14000000000000057,0.21999999999999886,1.6266666666666667,1.0,1.6264310575272531,1.0,1.6265247965968581,1.0,31.717233533638733,31.72,0.008132623982984291,0.005,31.70910090965575,31.715,31.725366157621718,31.724999999999998,31.724999999999998,31.715,-0.00999999999999801,-0.00031525851197976073,PFF,PFF,2025-09-05,False,5128.0,3153.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,351.88000000001955
19.6,31.87,0.10000000000000142,0.15000000000000213,1.6260204081632652,1.0,1.6264168378519088,1.0,1.6264310575272531,1.0,31.878048727534164,31.87,0.008132155287636266,0.005,31.869916572246527,31.865000000000002,31.8861808828218,31.875,31.875,31.869916572246527,-0.005083427753472591,-0.00015950510679236244,PFF,PFFD,2025-09-08,False,5104.0,3138.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,351.88000000001955
19.58,31.8,-0.020000000000003126,-0.07000000000000028,1.624106230847804,1.0,1.626274187011854,1.0,1.6264168378519088,1.0,31.845241685140373,31.8,0.008132084189259545,0.005,31.837109600951113,31.795,31.853373769329632,31.805,31.805,31.837109600951113,0.03210960095111304,0.0010097358789658189,PFF,PFFD,2025-09-09,False,5115.0,3145.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,351.88000000001955
19.61,31.87,0.030000000000001137,0.07000000000000028,1.625191228964814,1.0,1.6261148295411758,1.0,1.626274187011854,1.0,31.891236807302455,31.87,0.00813137093505927,0.005,31.883105436367394,31.865000000000002,31.899368178237516,31.875,31.875,31.883105436367394,0.008105436367394248,0.00025432809436442573,PFF,PFFD,2025-09-10,False,5103.0,3138.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,351.88000000001955
19.74,32.05,0.129999999999999,0.17999999999999616,1.6236068895643363,1.0,1.6258414751057866,1.0,1.6261148295411758,1.0,32.09950673514281,32.05,0.008130574147705879,0.005,32.091376160995104,32.044999999999995,32.10763730929052,32.055,32.055,32.091376160995104,0.0363761609951041,0.0011349816223121406,PFF,PFFD,2025-09-11,False,5073.0,3120.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,351.88000000001955
19.68,31.98,-0.05999999999999872,-0.06999999999999673,1.625,1.0,1.6257250154784575,1.0,1.6258414751057866,1.0,31.99656023008188,31.98,0.008129207375528934,0.005,31.98843102270635,31.975,32.00468943745741,31.985,31.985,31.98843102270635,0.0034310227063514276,0.00010728651364450993,PFF,PFFD,2025-09-12,False,5084.0,3127.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,351.88000000001955
19.78,32.1,0.10000000000000142,0.120000000000001,1.6228513650151668,1.0,1.6253937902678772,1.0,1.6257250154784575,1.0,32.15684080616389,32.1,0.008128625077392287,0.005,32.1487121810865,32.095,32.16496943124128,32.105000000000004,32.105000000000004,32.1487121810865,0.04371218108649799,0.0013617501896105292,PFF,PFFD,2025-09-15,False,5064.0,3115.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,351.88000000001955
19.78,32.11,0.0,0.00999999999999801,1.6233569261880687,1.0,1.625107937663675,1.0,1.6253937902678772,1.0,32.15028917149861,32.11,0.008126968951339386,0.005,32.142162202547276,32.105,32.15841614044995,32.115,32.115,32.142162202547276,0.02716220254727375,0.0008459110105036983,PFF,PFFD,2025-09-16,False,5061.0,3114.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,351.88000000001955
19.79,32.1,0.00999999999999801,-0.00999999999999801,1.6220313289540174,1.0,1.6250239371010664,1.0,1.625107937663675,1.0,32.16088608636413,32.1,0.008125539688318376,0.005,32.152760546675815,32.095,32.169011626052445,32.105000000000004,32.105000000000004,32.152760546675815,0.047760546675810645,0.001487867497688805,PFF,PFFD,2025-09-17,False,5062.0,3115.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,351.88000000001955
19.8,32.1,0.010000000000001563,0.0,1.6212121212121213,1.0,1.6249183924908777,1.0,1.6250239371010664,1.0,32.17547395460112,32.1,0.008125119685505331,0.005,32.167348834915614,32.095,32.18359907428662,32.105000000000004,32.105000000000004,32.167348834915614,0.062348834915610496,0.0019423313057822583,PFF,PFFD,2025-09-18,False,5062.0,3115.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,351.88000000001955
19.79,32.13,-0.010000000000001563,0.030000000000001137,1.623547246083881,1.0,1.6247682754562287,1.0,1.6249183924908777,1.0,32.157134987394464,32.13,0.00812459196245439,0.005,32.14901039543201,32.125,32.16525957935692,32.135000000000005,32.135000000000005,32.14901039543201,0.014010395432002554,0.0004360533903517757,PFF,PFFD,2025-09-19,False,5057.0,3112.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,351.88000000001955
19.8,32.08,0.010000000000001563,-0.05000000000000426,1.62020202020202,1.0,1.6244867311562323,1.0,1.6247682754562287,1.0,32.17041185403333,32.08,0.008123841377281144,0.005,32.16228801265605,32.074999999999996,32.178535695410616,32.085,32.085,32.16228801265605,0.07728801265604801,0.0024092273271835414,PFF,PFFD,2025-09-22,False,5064.0,3117.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,351.88000000001955
