,from date,to date,from SCHH price,to SCHH price,SCHH cod,SCHH pct cod,from USRT price,to USRT price,USRT cod,USRT pct cod,to USRT / to SCHH,to USRT / to USRT
689,2024-05-17,2024-05-20,20.02,19.92,-0.09999999999999787,-0.005007521730622293,53.34,53.04,-0.30000000000000426,-0.005640172876261197,2.6626506024096384,1.0
690,2024-05-20,2024-05-21,19.92,19.91,-0.010000000000001563,-0.0005021340803473695,53.04,53.03,-0.00999999999999801,-0.0001885547285684429,2.663485685585133,1.0
691,2024-05-21,2024-05-22,19.91,19.74,-0.1700000000000017,-0.008575084070769448,53.03,52.55,-0.480000000000004,-0.009092693826078514,2.6621073961499495,1.0
692,2024-05-22,2024-05-23,19.74,19.32,-0.41999999999999815,-0.021506205220963505,52.55,51.48,-1.0700000000000003,-0.020571714595034207,2.664596273291925,1.0
693,2024-05-23,2024-05-24,19.32,19.32,0.0,0.0,51.48,51.47,-0.00999999999999801,-0.00019426906326268514,2.66407867494824,1.0
694,2024-05-24,2024-05-28,19.32,19.21,-0.10999999999999943,-0.005709852003906603,51.47,51.2,-0.269999999999996,-0.005259581619200987,2.6652785007808433,1.0
695,2024-05-28,2024-05-29,19.21,19.04,-0.1700000000000017,-0.008888947417246152,51.2,50.7,-0.5,-0.009813621448324622,2.6628151260504205,1.0
696,2024-05-29,2024-05-30,19.04,19.35,0.3100000000000023,0.01615039011257172,50.7,51.42,0.7199999999999989,0.014101291240605926,2.6573643410852714,1.0
697,2024-05-30,2024-05-31,19.35,19.71,0.35999999999999943,0.018433701688837966,51.42,52.4,0.9799999999999969,0.018879389489252944,2.658548959918823,1.0
698,2024-05-31,2024-06-03,19.71,19.68,-0.030000000000001137,-0.0015232295405215258,52.4,52.19,-0.21000000000000085,-0.004015685671674684,2.651930894308943,1.0
699,2024-06-03,2024-06-04,19.68,19.87,0.19000000000000128,0.009608164939618215,52.19,52.65,0.46000000000000085,0.008775332924662711,2.6497232008052336,1.0
700,2024-06-04,2024-06-05,19.87,19.83,-0.0400000000000027,-0.002015114032020977,52.65,52.64,-0.00999999999999801,-0.00018995156292268427,2.654563792233989,1.0
701,2024-06-05,2024-06-06,19.83,19.88,0.05000000000000071,0.0025182586967233927,52.64,52.77,0.13000000000000256,0.002466560400514855,2.654426559356137,1.0
702,2024-06-06,2024-06-07,19.88,19.7,-0.17999999999999972,-0.009095565484485158,52.77,52.35,-0.4200000000000017,-0.007990910101030693,2.657360406091371,1.0
703,2024-06-07,2024-06-10,19.7,19.74,0.03999999999999915,0.002028398261392619,52.35,52.54,0.18999999999999773,0.0036228469408478353,2.661600810536981,1.0
704,2024-06-10,2024-06-11,19.74,19.68,-0.05999999999999872,-0.0030441423812281325,52.54,52.1,-0.4399999999999977,-0.008409835498072582,2.647357723577236,1.0
705,2024-06-11,2024-06-12,19.68,19.83,0.14999999999999858,0.007593050907597196,52.1,52.53,0.4299999999999997,0.008219486206548882,2.649016641452345,1.0
706,2024-06-12,2024-06-13,19.83,19.94,0.11000000000000298,0.005531822001987716,52.53,52.77,0.240000000000002,0.004558412451706408,2.6464393179538614,1.0
707,2024-06-13,2024-06-14,19.94,19.96,0.019999999999999574,0.0010025063496255707,52.77,52.81,0.03999999999999915,0.0007577193012653254,2.6457915831663326,1.0
708,2024-06-14,2024-06-17,19.96,19.88,-0.08000000000000185,-0.004016069654890054,52.81,52.75,-0.060000000000002274,-0.0011367943626659465,2.6534205231388333,1.0
709,2024-06-17,2024-06-18,19.88,19.93,0.05000000000000071,0.0025119329962754178,52.75,52.99,0.240000000000002,0.004539444148494927,2.6588058203713,1.0
710,2024-06-18,2024-06-20,19.93,19.89,-0.03999999999999915,-0.0020090413588225164,52.99,52.76,-0.23000000000000398,-0.004349888655556889,2.652589240824535,1.0
711,2024-06-20,2024-06-21,19.89,19.93,0.03999999999999915,0.0020090413588225125,52.76,52.89,0.13000000000000256,0.0024609572287747484,2.6537882589061716,1.0
712,2024-06-21,2024-06-24,19.93,20.11,0.17999999999999972,0.00899106955985737,52.89,53.32,0.4299999999999997,0.008097210232619303,2.6514172053704623,1.0
713,2024-06-24,2024-06-25,20.11,19.84,-0.2699999999999996,-0.013517101927833893,53.32,52.59,-0.7299999999999969,-0.013785507709255046,2.6507056451612905,1.0
714,2024-06-25,2024-06-26,19.84,19.61,-0.23000000000000043,-0.011660461648471827,52.59,52.49,-0.10000000000000142,-0.0019033123370444786,2.6766955634880163,1.0
