,from date,to date,from CWB price,to CWB price,CWB cod,CWB pct cod,from ICVT price,to ICVT price,ICVT cod,ICVT pct cod,to ICVT / to CWB,to ICVT / to ICVT
401,2023-03-24,2023-03-27,65.39,65.57,0.1799999999999926,0.002748932702343442,70.95,71.08,0.12999999999999545,0.0018305996803989096,1.0840323318590819,1.0
402,2023-03-27,2023-03-28,65.57,65.54,-0.029999999999986926,-0.0004576310048593396,71.08,71.3,0.21999999999999886,0.003090324133799762,1.087885260909368,1.0
403,2023-03-28,2023-03-29,65.54,66.04,0.5,0.007599975781258681,71.3,71.6,0.29999999999999716,0.00419874654634954,1.084191399152029,1.0
404,2023-03-29,2023-03-30,66.04,66.37,0.3299999999999983,0.004984528105906261,71.6,71.9,0.30000000000001137,0.004181190760401332,1.0833207774596956,1.0
405,2023-03-30,2023-03-31,66.37,67.07,0.6999999999999886,0.010491702953812002,71.9,72.62,0.7199999999999989,0.009964101259188746,1.0827493663336814,1.0
406,2023-03-31,2023-04-03,67.07,66.86,-0.20999999999999375,-0.003135969119693194,72.62,72.32,-0.30000000000001137,-0.004139649902268787,1.0816631767873166,1.0
407,2023-04-03,2023-04-04,66.86,66.53,-0.3299999999999983,-0.0049479072381564335,72.32,72.0,-0.3199999999999932,-0.004434597067865641,1.082218548023448,1.0
408,2023-04-04,2023-04-05,66.53,66.25,-0.28000000000000114,-0.0042175088874645975,72.0,71.78,-0.21999999999999886,-0.0030602332965941367,1.0834716981132075,1.0
409,2023-04-05,2023-04-06,66.25,66.3,0.04999999999999716,0.0007544323254851004,71.78,71.78,0.0,0.0,1.0826546003016593,1.0
410,2023-04-06,2023-04-10,66.3,66.52,0.21999999999999886,0.0033127571329100913,71.78,71.96,0.1799999999999926,0.002504523362871,1.0817799158147925,1.0
411,2023-04-10,2023-04-11,66.52,66.77,0.25,0.003751223545050593,71.96,72.16,0.20000000000000284,0.0027754666720358535,1.0807248764415156,1.0
412,2023-04-11,2023-04-12,66.77,66.64,-0.12999999999999545,-0.0019488800111900732,72.16,72.08,-0.0799999999999983,-0.0011092624542857338,1.0816326530612244,1.0
