,symbol,unknown_0,unknown_1,unknown_2,min_order_size,max_order_size,unknown_5,unknown_6,unknown_7,initial_margin,maintenance_margin,unknown_10,unknown_11,pf_locator
142,STXUST,,,,0.001,75000.0,,,,,,,,tSTXUST
143,SUIUSD,,,,2.0,50000.0,,,,0.3,0.15,,,tSUIUSD
144,SUIUST,,,,2.0,50000.0,,,,0.3,0.15,,,tSUIUST
145,SUNUSD,,,,216.0,10000000.0,,,,,,,,tSUNUSD
146,SUNUST,,,,216.0,10000000.0,,,,,,,,tSUNUST
147,TESTADA:TESTUSD,,,,4.0,250000.0,,,,0.3,0.15,,,tTESTADA:TESTUSD
148,TESTALGO:TESTUSD,,,,8.0,150000.0,,,,0.3,0.15,,,tTESTALGO:TESTUSD
149,TESTAPT:TESTUSD,,,,0.2,30000.0,,,,0.3,0.15,,,tTESTAPT:TESTUSD
150,TESTAVAX:TESTUSD,,,,0.08,50000.0,,,,0.3,0.15,,,tTESTAVAX:TESTUSD
151,TESTBTC:TESTUSD,,,,0.00004,2000.0,,,,0.3,0.15,,,tTESTBTC:TESTUSD
152,TESTBTC:TESTUSDT,,,,0.00004,2000.0,,,,0.3,0.15,,,tTESTBTC:TESTUSDT
153,TESTDOGE:TESTUSD,,,,22.0,1500000.0,,,,0.3,0.15,,,tTESTDOGE:TESTUSD
154,TESTDOT:TESTUSD,,,,0.2,50000.0,,,,0.3,0.15,,,tTESTDOT:TESTUSD
155,TESTEOS:TESTUSD,,,,2.0,50000.0,,,,,,,,tTESTEOS:TESTUSD
156,TESTETH:TESTUSD,,,,0.0008,5000.0,,,,0.3,0.15,,,tTESTETH:TESTUSD
157,TESTFIL:TESTUSD,,,,0.2,10000.0,,,,0.3,0.15,,,tTESTFIL:TESTUSD
158,TESTLTC:TESTUSD,,,,0.04,5000.0,,,,0.3,0.15,,,tTESTLTC:TESTUSD
159,TESTNEAR:TESTUSD,,,,0.4,25000.0,,,,0.3,0.15,,,tTESTNEAR:TESTUSD
160,TESTSOL:TESTUSD,,,,0.02,50000.0,,,,0.3,0.15,,,tTESTSOL:TESTUSD
