,symbol,base,quote,status,qty_precision,qty_increment,price_precision,cost_precision,marginable,has_index,ws_display_price_precision,cost_min,tick_size,price_increment,qty_min,margin_initial,position_limit_long,position_limit_short
1165,WLFI/USD,WLFI,USD,online,5,1e-05,4,5,True,True,4,0.5,0.0001,0.0001,50.0,0.33,1100000.0,0.0
1166,WLFI/EUR,WLFI,EUR,online,5,1e-05,4,5,False,True,4,0.45,0.0001,0.0001,50.0,,,
1167,SOL/USD1,SOL,USD1,online,8,1e-08,2,6,False,False,2,0.5,0.01,0.01,0.02,,,
1168,ZIG/USD,ZIG,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,160.0,,,
1169,ZIG/EUR,ZIG,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,160.0,,,
1170,USD1/USD,USD1,USD,online,5,1e-05,4,8,False,False,4,0.5,0.0001,0.0001,5.0,,,
1171,USD1/USDC,USD1,USDC,online,5,1e-05,4,8,False,False,4,0.5,0.0001,0.0001,5.0,,,
1172,BTC/USD1,BTC,USD1,online,8,1e-08,1,5,False,False,1,0.5,0.1,0.1,5e-05,,,
1173,ETH/USD1,ETH,USD1,online,8,1e-08,2,6,False,False,2,0.5,0.01,0.01,0.001,,,
1174,XDC/USD,XDC,USD,online,5,1e-05,5,5,True,True,5,0.5,1e-05,1e-05,150.0,0.33,9400000.0,0.0
1175,XDC/EUR,XDC,EUR,online,5,1e-05,5,5,False,True,5,0.45,1e-05,1e-05,150.0,,,
1176,XDC/USDC,XDC,USDC,online,5,1e-05,5,5,False,True,5,0.5,1e-05,1e-05,150.0,,,
1177,XDC/CAD,XDC,CAD,online,5,1e-05,5,5,False,True,5,1.0,1e-05,1e-05,150.0,,,
1178,PTB/USD,PTB,USD,online,5,1e-05,6,5,False,False,6,0.5,1e-06,1e-06,5800.0,,,
1179,PTB/EUR,PTB,EUR,online,5,1e-05,6,5,False,False,6,0.45,1e-06,1e-06,5800.0,,,
1180,SAROS/USD,SAROS,USD,online,5,1e-05,6,5,False,False,6,0.5,1e-06,1e-06,8400.0,,,
1181,SAROS/EUR,SAROS,EUR,online,5,1e-05,6,5,False,False,6,0.45,1e-06,1e-06,8400.0,,,
