,product_id,price,price_percentage_change_24h,volume_24h,volume_percentage_change_24h,base_increment,quote_increment,quote_min_size,quote_max_size,base_min_size,base_max_size,base_name,quote_name,watched,is_disabled,new,status,cancel_only,limit_only,post_only,trading_disabled,auction_mode,product_type,quote_currency_id,base_currency_id,fcm_trading_session_details,mid_market_price,alias,alias_to,base_display_symbol,quote_display_symbol,view_only,price_increment,display_name,product_venue,approximate_quote_24h_volume,new_at,market_cap,base_cbrn,quote_cbrn,product_cbrn,icon_color,icon_url,display_name_overwrite,is_alpha_testing,about_description,best_bid_price,best_ask_price
34,REQ-USD,0.0886,-12.36399604352127,60997633,418.07201276578975,1,0.0001,1,10000000,1,107362000,Request,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,REQ,,,,['REQ-USDC'],REQ,USD,False,0.0001,REQ-USD,CBE,5404390.28,2023-01-01T00:00:00Z,,,,,,,,False,,,
35,REQ-USDC,0.0886,-12.36399604352127,60969508,414.53610402473101,1,0.0001,1,10000000,1,107362000,Request,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,REQ,,,REQ-USD,[],REQ,USD,False,0.0001,REQ-USDC,CBE,5401898.41,2023-01-01T00:00:00Z,,,,,,,,False,,,
36,GWEI-USDC,0.105696,7.15545732881851,50438517,107.74943412975429,1,0.000001,1,10000000,1,330344533.9546768973265048,ETHGas,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,GWEI,,,GWEI-USD,[],GWEI,USD,False,0.000001,GWEI-USDC,CBE,5331149.49,2026-02-23T16:53:00.006Z,,,,,,,,False,,,
37,GWEI-USD,0.105666,7.1250430868428,50440717,107.76571823760827,1,0.000001,1,10000000,1,330344533.9546768973265048,ETHGas,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,GWEI,,,,['GWEI-USDC'],GWEI,USD,False,0.000001,GWEI-USD,CBE,5329868.8,2026-02-23T16:53:00.006Z,,,,,,,,False,,,
38,MON-USD,0.03233,-3.83700178465199,146957408,3.58631070635987,1,0.00001,1,10000000,1,400000000,Monad,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,MON,,,,['MON-USDC'],MON,USD,False,0.00001,MON-USD,CBE,4751133,2025-11-24T13:08:00.017Z,,,,,,,,False,,,
39,MON-USDC,0.03233,-3.83700178465199,146957408,3.58631070635987,1,0.00001,1,10000000,1,400000000,Monad,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,MON,,,MON-USD,[],MON,USD,False,0.00001,MON-USDC,CBE,4751133,2025-11-24T13:08:00.017Z,,,,,,,,False,,,
40,USDC-EUR,0.8511,0.11763321962122,5443306.34,-39.80422886781744,0.01,0.0001,1,10000000,0.01,10000000,USDC,Euro,False,False,False,online,False,True,False,False,False,SPOT,EUR,USDC,,,,[],USDC,EUR,False,0.0001,USDC-EUR,CBE,4632798.026,2023-01-01T00:00:00Z,,,,,,,,False,,,
41,BASED1-USDC,0.0858,-20.92165898617512,50516013.4,-58.43912558306294,0.1,0.0001,1,10000000,0.1,50000000,Based One,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,BASED1,,,BASED1-USD,[],BASED1,USD,False,0.0001,BASED1-USDC,CBE,4334273.95,2026-03-27T20:16:00.037Z,,,,,,,,False,,,
42,BASED1-USD,0.0854,-21.29032258064516,50516013.4,-58.43912558306294,0.1,0.0001,1,10000000,0.1,50000000,Based One,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,BASED1,,,,['BASED1-USDC'],BASED1,USD,False,0.0001,BASED1-USD,CBE,4314067.54,2026-03-27T20:16:00.037Z,,,,,,,,False,,,
43,VVV-USD,9.354,6.55093462734511,451485.064,-2.05755849243977,0.001,0.0001,1,10000000,0.001,864828.224540995339115,Venice Token,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,VVV,,,,['VVV-USDC'],VVV,USD,False,0.0001,VVV-USD,CBE,4223191.29,2025-01-27T23:29:03.404Z,,,,,,,,False,,,
44,VVV-USDC,9.354,6.55093462734511,451485.064,-2.05755849243977,0.001,0.0001,1,10000000,0.001,864828.224540995339115,Venice Token,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,VVV,,,VVV-USD,[],VVV,USD,False,0.0001,VVV-USDC,CBE,4223191.29,2025-01-27T23:29:03.404Z,,,,,,,,False,,,
45,FARTCOIN-USD,0.2039,-2.29995208433158,20148007.35,-29.93593169083827,0.01,0.0001,1,10000000,0.01,6699148.7805879955638943,Fartcoin,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,FARTCOIN,,,,['FARTCOIN-USDC'],FARTCOIN,USD,False,0.0001,FARTCOIN-USD,CBE,4108178.7,2025-06-11T16:36:00.017Z,,,,,,,,False,,,
