,id,base,base_name,quote,quote_name,fee,min_base_amount,min_quote_amount,max_quote_amount,amount_precision,precision,trade_status,sell_start,buy_start,type,trade_url,st_tag,slippage,market_order_max_stock,market_order_max_money,up_rate,down_rate,delisting_time,max_base_amount
1937,ELF_ETH,ELF,aelf,ETH,Ethereum,0.2,0.001,0.001,1000,3,9,tradable,0,0,normal,https://www.gate.com/trade/ELF_ETH,False,0.1,2193812,66.66666666,0.6,0.6,,
1938,FAIR3_USDT,FAIR3,Fair and Free,USDT,Tether,0.2,1,3,5000000,0,6,tradable,1577808000,1757334600,normal,https://www.gate.com/trade/FAIR3_USDT,False,0.1,23872045.83,200000,0.6,0.6,,
1939,OVL_USDT,OVL,Overlay Protocol,USDT,Tether,0.2,1,3,5000000,0,5,tradable,1577808000,1755162000,normal,https://www.gate.com/trade/OVL_USDT,False,0.1,4694835.68,200000,0.4,0.4,,
1940,ART_USDT,ART,LiveArt,USDT,Tether,0.2,1,3,5000000,0,7,tradable,1577808000,1757419200,normal,https://www.gate.com/trade/ART_USDT,False,0.1,355776927.87,200000,0.4,0.4,,
1941,PNUT3L_USDT,PNUT3L,PNUT3xLong,USDT,Tether,0.2,0.01,3,5000000,2,5,tradable,1577808000,1770883200,normal,https://www.gate.com/trade/PNUT3L_USDT,False,0.1,141476066.97,300000,0.6,0.6,,
1942,COOK_USDT,COOK,mETH Protocol,USDT,Tether,0.2,0.01,3,5000000,2,6,tradable,1607313600,1730196000,normal,https://www.gate.com/trade/COOK_USDT,False,0.1,49844236.76,200000,0.4,0.4,,
1943,LAIR_USDT,LAIR,Lair Finance,USDT,Tether,0.2,0.01,3,5000000,2,6,tradable,1577808000,1745571600,normal,https://www.gate.com/trade/LAIR_USDT,False,0.1,66445182.72,100000,0.4,0.4,,
1944,CODEX_USDT,CODEX,CodexField,USDT,Tether,0.2,0.001,3,5000000,3,2,tradable,1577808000,1767355200,normal,https://www.gate.com/trade/CODEX_USDT,False,0.1,0,0,0.4,0.4,,
1945,BTR_USDT,BTR,Bitlayer,USDT,Tether,0.2,1,3,5000000,0,5,tradable,1577808000,1756292400,normal,https://www.gate.com/trade/BTR_USDT,False,0.08,10591350.4,300000,0.35,0.35,,
1946,ANDYETH_USDT,ANDYETH,Andy,USDT,Tether,0.2,1,3,5000000,0,9,tradable,1607313600,1713781800,normal,https://www.gate.com/trade/ANDYETH_USDT,False,0.1,19020446980.5,200000,0.4,0.4,,
1947,BEAM_USDT,BEAM,Beam,USDT,Tether,0.2,0.01,3,5000000,2,5,tradable,0,1549080000,normal,https://www.gate.com/trade/BEAM_USDT,False,0.1,9305210.92,300000,0.4,0.4,,
1948,ZTX_USDT,ZTX,ZTX,USDT,Tether,0.2,1,3,5000000,0,7,tradable,1607313600,1697443200,normal,https://www.gate.com/trade/ZTX_USDT,False,0.1,544736483.73,200000,0.4,0.4,,
1949,UNN_USDT,UNN,UNION Protocol,USDT,Tether,0.2,0.1,3,5000000,1,8,tradable,1607313600,1615798800,normal,https://www.gate.com/trade/UNN_USDT,False,0.1,1531217700.88,200000,0.4,0.4,,
1950,EDEN_USDT,EDEN,OpenEden,USDT,Tether,0.2,1,3,5000000,0,5,tradable,1607313600,1759230000,normal,https://www.gate.com/trade/EDEN_USDT,False,0.08,7456565.51,500000,0.35,0.35,,
1951,IDOS_USDT,IDOS,IDOS,USDT,Tether,0.2,1,3,5000000,0,5,tradable,1577808000,1772719200,normal,https://www.gate.com/trade/IDOS_USDT,False,0.05,0,0,0.4,0.4,,
1952,PRAI_USDT,PRAI,Privasea AI,USDT,Tether,0.2,1,3,5000000,0,6,tradable,1577808000,1747231200,normal,https://www.gate.com/trade/PRAI_USDT,False,0.1,37671877.94,200000,0.4,0.4,,
1953,RLC_USDT,RLC,iExec,USDT,Tether,0.2,0.1,3,5000000,1,4,tradable,0,0,normal,https://www.gate.com/trade/RLC_USDT,False,0.1,449370.88,300000,0.35,0.35,,
1954,ITA_USDT,ITA,Italian Football Federation,USDT,Tether,0.2,0.01,3,5000000,2,4,tradable,1608782400,1666872000,normal,https://www.gate.com/trade/ITA_USDT,False,0.1,979671.81,200000,0.4,0.4,,
1955,FIRE_USDT,FIRE,Fire Protocol,USDT,Tether,0.2,1,3,5000000,0,7,tradable,1607313600,1616220000,normal,https://www.gate.com/trade/FIRE_USDT,False,0.1,765110941,200000,0.4,0.4,,
1956,COMMON_USDT,COMMON,Common Protocol,USDT,Tether,0.2,1,3,5000000,0,7,tradable,1577808000,1761570000,normal,https://www.gate.com/trade/COMMON_USDT,False,0.1,148875986.3,500000,0.4,0.4,,
1957,W3GG_USDT,W3GG,W3 Guild Games,USDT,Tether,0.2,0.01,3,5000000,2,6,tradable,1596702900,1727258400,normal,https://www.gate.com/trade/W3GG_USDT,False,0.1,54347826.09,200000,0.4,0.4,,
1958,FLR_USDT,FLR,Flare Network,USDT,Tether,0.2,0.1,3,5000000,1,6,tradable,1607313600,1673323200,normal,https://www.gate.com/trade/FLR_USDT,False,0.06,43649061.55,500000,0.3,0.3,,
1959,HAMSTER_USDT,HAMSTER,Hamster,USDT,Tether,0.2,0.1,3,5000000,1,8,tradable,1596702900,1728727200,normal,https://www.gate.com/trade/HAMSTER_USDT,False,0.1,5790387956,200000,0.6,0.6,,
1960,NEXI_USDT,NEXI,NEXIRA DAEP,USDT,Tether,0.2,1,3,5000000,0,6,tradable,1577808000,1773054000,normal,https://www.gate.com/trade/NEXI_USDT,False,0.05,0,0,0.4,0.4,,
1961,HNT_USDT,HNT,Helium,USDT,Tether,0.2,0.1,3,5000000,1,4,tradable,0,1620979200,normal,https://www.gate.com/trade/HNT_USDT,False,0.08,175438.6,300000,0.2,0.2,,
1962,PRIMAL_USDT,PRIMAL,Primal,USDT,Tether,0.2,0.1,3,5000000,1,9,tradable,1607313600,1670497200,normal,https://www.gate.com/trade/PRIMAL_USDT,False,0.1,7176432595,100000,0.4,0.4,,
1963,CHATAI_USDT,CHATAI,ChatAI,USDT,Tether,0.2,0.01,3,5000000,2,7,tradable,1596702900,1711101600,normal,https://www.gate.com/trade/CHATAI_USDT,False,0.1,970402717,200000,0.4,0.4,,
1964,ETHFI3L_USDT,ETHFI3L,ETHFI3xLong,USDT,Tether,0.2,0.01,3,5000000,2,7,tradable,1577808000,1747638000,normal,https://www.gate.com/trade/ETHFI3L_USDT,False,0.1,47850705.8,300000,0.6,0.6,,
1965,BCUT_USDT,BCUT,bitsCrunch Token,USDT,Tether,0.2,1,3,5000000,0,6,tradable,1607313600,1708434000,normal,https://www.gate.com/trade/BCUT_USDT,False,0.1,44742729.31,200000,0.4,0.4,,
1966,HYPE3S_USDT,HYPE3S,HYPE3xShort,USDT,Tether,0.2,0.01,3,5000000,2,6,tradable,1577808000,1747972800,normal,https://www.gate.com/trade/HYPE3S_USDT,False,0.1,6906077.35,300000,0.6,0.6,,
1967,WNCG_USDT,WNCG,Nine Chronicles,USDT,Tether,0.2,0.01,3,5000000,2,6,tradable,1607313600,1629165600,normal,https://www.gate.com/trade/WNCG_USDT,False,0.1,28184892.9,200000,0.4,0.4,,
1968,CRO3L_USDT,CRO3L,CRO3xLong,USDT,Tether,0.2,0.01,3,5000000,2,5,tradable,1582704000,1775030400,normal,https://www.gate.com/trade/CRO3L_USDT,False,0.1,107962213.23,200000,0.6,0.6,,
1969,HOOK_USDT,HOOK,Hooked Protocol,USDT,Tether,0.2,1,3,5000000,0,6,tradable,1607313600,1669978800,normal,https://www.gate.com/trade/HOOK_USDT,False,0.1,8421052.63,300000,0.35,0.35,,
1970,SQR_USDT,SQR,Magic Square,USDT,Tether,0.2,1,3,5000000,0,7,tradable,1607313600,1705917600,normal,https://www.gate.com/trade/SQR_USDT,False,0.1,163265306.12,200000,0.4,0.4,,
1971,EQTY_USDT,EQTY,EQTY,USDT,Tether,0.2,1,3,5000000,0,6,tradable,1577808000,1762840800,normal,https://www.gate.com/trade/EQTY_USDT,False,0.1,57159188.34,200000,0.4,0.4,,
1972,ELF_USDT,ELF,aelf,USDT,Tether,0.2,1,3,5000000,0,5,tradable,0,0,normal,https://www.gate.com/trade/ELF_USDT,False,0.1,2257463.74,200000,0.4,0.4,,
1973,XAU5S_USDT,XAU5S,XAU5xShort,USDT,Tether,0.2,0.01,3,5000000,2,5,tradable,1577808000,1773046800,normal,https://www.gate.com/trade/XAU5S_USDT,False,0.1,0,0,0.6,0.6,,
1974,ZEUM_USDT,ZEUM,Colizeum,USDT,Tether,0.2,1,3,5000000,0,7,tradable,1607313600,1651636800,normal,https://www.gate.com/trade/ZEUM_USDT,False,0.1,237699072.97,100000,0.6,0.6,,
1975,CAMP_USDT,CAMP,Camp Network,USDT,Tether,0.2,1,3,5000000,0,6,tradable,1577808000,1756285200,normal,https://www.gate.com/trade/CAMP_USDT,False,0.1,43066322.14,300000,0.4,0.4,,
1976,TRAC_USDT,TRAC,OriginTrail,USDT,Tether,0.2,0.1,3,5000000,1,4,tradable,1607313600,1765346400,normal,https://www.gate.com/trade/TRAC_USDT,False,0.08,768836.49,300000,0.35,0.35,,
1977,TAG_USDT,TAG,Tagger,USDT,Tether,0.2,0.1,3,5000000,1,7,tradable,1577808000,1751968800,normal,https://www.gate.com/trade/TAG_USDT,False,0.1,842105263.16,500000,0.35,0.35,,
1978,IOST_USDT,IOST,IOST,USDT,Tether,0.2,0.1,3,5000000,1,6,tradable,1607313600,1614571200,normal,https://www.gate.com/trade/IOST_USDT,False,0.1,194868463.79,300000,0.35,0.35,,
1979,OP_USDT,OP,Optimism,USDT,Tether,0.2,1,3,5000000,0,5,tradable,1609434000,1654039800,normal,https://www.gate.com/trade/OP_USDT,False,0.05,3475238.92,1000000,0.25,0.25,,
1980,OP_USDC,OP,Optimism,USDC,USDCoin,0.2,0.001,1,5000000,3,4,tradable,1609434000,1654039800,normal,https://www.gate.com/trade/OP_USDC,False,0.08,1043115.44,300000,0.35,0.35,,
1981,MATCH_USDT,MATCH,Match,USDT,Tether,0.2,1,3,5000000,0,9,tradable,1609434000,1669348800,normal,https://www.gate.com/trade/MATCH_USDT,False,0.1,42890842805,100000,0.4,0.4,,
1982,NIBI_USDT,NIBI,Nibiru,USDT,Tether,0.2,0.01,3,5000000,2,6,tradable,0,1710230400,normal,https://www.gate.com/trade/NIBI_USDT,False,0.1,16110842.6,200000,0.4,0.4,,
1983,PSG_USDT,PSG,Paris Saint-Germain,USDT,Tether,0.2,0.01,3,5000000,2,4,tradable,1608782400,1618297200,normal,https://www.gate.com/trade/PSG_USDT,False,0.1,245308.48,200000,0.4,0.4,,
1984,WAMPL_USDT,WAMPL,Ampleforth,USDT,Tether,0.2,0.1,3,5000000,1,4,tradable,1607313600,1718967600,normal,https://www.gate.com/trade/WAMPL_USDT,True,0.1,61919.5,100000,0.4,0.4,1776826800.0,
1985,HOODON_USDT,HOODON,Robinhood Markets Ondo Tokenized,USDT,Tether,0.2,0.001,3,5000000,3,2,tradable,1577808000,1756902600,normal,https://www.gate.com/trade/HOODON_USDT,False,0.06,4144.22,500000,0.15,0.15,,
1986,FF_USDT,FF,Falcon Finance,USDT,Tether,0.2,0.1,3,5000000,1,5,tradable,1577808000,1759150800,normal,https://www.gate.com/trade/FF_USDT,False,0.06,5042610.05,500000,0.35,0.35,,
1987,KAITO_USDT,KAITO,Kaito,USDT,Tether,0.2,0.01,3,5000000,2,4,tradable,1577808000,1740056400,normal,https://www.gate.com/trade/KAITO_USDT,False,0.08,562587.9,300000,0.3,0.3,,
1988,WAGMIGAMES_USDT,WAGMIGAMES,WAGMI Games,USDT,Tether,0.2,1,3,5000000,0,10,tradable,1607313600,1689775200,normal,https://www.gate.com/trade/WAGMIGAMES_USDT,False,0.1,104931794333.68,200000,0.4,0.4,,
1989,OXY_USDT,OXY,Oxygen Protocol,USDT,Tether,0.2,1,3,5000000,0,7,tradable,1607313600,1615903200,normal,https://www.gate.com/trade/OXY_USDT,False,0.1,477270015.51,200000,0.6,0.6,,
1990,VGX_USDT,VGX,VGX Token,USDT,Tether,0.2,1,3,5000000,0,7,tradable,1607313600,1637496000,normal,https://www.gate.com/trade/VGX_USDT,False,0.1,345274061.29,200000,0.4,0.4,,
1991,NIKO_USDT,NIKO,NikolAI,USDT,Tether,0.2,0.01,3,5000000,2,7,tradable,1577808000,1730988000,normal,https://www.gate.com/trade/NIKO_USDT,False,0.1,440480123.33,200000,0.4,0.4,,
1992,UNHON_USDT,UNHON,UnitedHealth Ondo Tokenized,USDT,Tether,0.2,0.001,3,5000000,3,2,tradable,1577808000,1756909800,normal,https://www.gate.com/trade/UNHON_USDT,False,0.05,1480.41,500000,0.15,0.15,,
1993,ELSA_USDT,ELSA,HeyElsa,USDT,Tether,0.2,1,3,5000000,0,5,tradable,1577808000,1769169600,normal,https://www.gate.com/trade/ELSA_USDT,False,0.05,0,0,0.4,0.4,,
1994,KDA_BTC,KDA,Kadena,BTC,Bitcoin,0.2,0.001,0.000001,100,3,11,tradable,1596702900,1638259200,normal,https://www.gate.com/trade/KDA_BTC,False,0.1,18572688.86,2.22222222,0.6,0.6,,
1995,IZI_USDT,IZI,izumi,USDT,Tether,0.2,0.1,3,5000000,1,6,tradable,1607313600,1640325600,normal,https://www.gate.com/trade/IZI_USDT,False,0.1,24446889.13,200000,0.4,0.4,,
1996,PUNDIX_USDT,PUNDIX,PundiX,USDT,Tether,0.2,0.01,3,5000000,2,4,tradable,1607313600,1617606000,normal,https://www.gate.com/trade/PUNDIX_USDT,False,0.1,1359619.31,300000,0.4,0.4,,
1997,LL_USDT,LL,LightLink,USDT,Tether,0.2,1,3,5000000,0,6,tradable,1607313600,1713945600,normal,https://www.gate.com/trade/LL_USDT,False,0.1,27313076.14,200000,0.4,0.4,,
1998,CRMC_USDT,CRMC,Chrema Coin,USDT,Tether,0.2,0.1,3,5000000,1,4,tradable,1577808000,1762236000,normal,https://www.gate.com/trade/CRMC_USDT,False,0.1,348099,200000,0.4,0.4,,
1999,AGI_USDT,AGI,Delysium,USDT,Tether,0.2,0.01,3,5000000,2,6,tradable,1607313600,1681214400,normal,https://www.gate.com/trade/AGI_USDT,False,0.1,23050326.55,300000,0.4,0.4,,
2000,GMWAGMI_USDT,GMWAGMI,GM,USDT,Tether,0.2,1,3,5000000,0,11,tradable,1607313600,1720591200,normal,https://www.gate.com/trade/GMWAGMI_USDT,False,0.1,964296907017.67,200000,0.4,0.4,,
