,base-currency,quote-currency,price-precision,amount-precision,symbol-partition,symbol,state,value-precision,min-order-amt,max-order-amt,min-order-value,limit-order-min-order-amt,limit-order-max-order-amt,limit-order-max-buy-amt,limit-order-max-sell-amt,buy-limit-must-less-than,sell-limit-must-greater-than,sell-market-min-order-amt,sell-market-max-order-amt,buy-market-max-order-value,market-sell-order-rate-must-less-than,market-buy-order-rate-must-less-than,api-trading,tags,leverage-ratio,super-margin-leverage-ratio,max-order-value,funding-leverage-ratio
1619,mubi,usdt,5,4,main,mubiusdt,offline,8,0.1,4747278.0,10.0,0.1,4747278.0,4747278.0,4747278.0,1.1,0.9,0.1,58316430.0,100000.0,0.1,0.1,enabled,st,,,,
1620,qtum,eth,6,4,main,qtumeth,offline,8,0.01,500000.0,0.001,0.01,500000.0,500000.0,500000.0,1.1,0.9,0.01,50000.0,270.0,0.1,0.1,enabled,,,,,
1621,btt,usdt,10,4,main,bttusdt,online,8,1.0,470000000000.0,10.0,1.0,470000000000.0,470000000000.0,470000000000.0,1.1,0.9,1.0,60927959310.0,20000.0,0.04,0.04,enabled,,3.0,3.0,,
1622,phcr,usdt,8,4,main,phcrusdt,offline,8,1.0,1000000000.0,10.0,1.0,1000000000.0,1000000000.0,1000000000.0,1.1,0.9,1.0,100000000.0,100000.0,0.1,0.1,enabled,,,,,
1623,zjlt,eth,8,2,st,zjlteth,offline,8,1.0,1000000000.0,0.001,1.0,1000000000.0,1000000000.0,1000000000.0,1.1,0.9,1.0,100000000.0,340.0,0.1,0.1,enabled,hadax,,,,
1624,lxt,eth,8,2,st,lxteth,offline,8,1.0,50000000.0,0.001,1.0,50000000.0,50000000.0,50000000.0,1.1,0.9,1.0,5000000.0,1000.0,0.05,0.05,enabled,hadax,,,,
1625,ghst,usdt,4,4,main,ghstusdt,online,8,0.001,666666.0,10.0,0.001,666666.0,666666.0,666666.0,1.25,0.75,0.001,1234302.0,100000.0,0.1,0.1,enabled,st,,,,
1626,al,usdt,5,4,main,alusdt,online,8,0.1,2325040.0,10.0,0.1,2325040.0,2325040.0,2325040.0,1.25,0.75,0.1,32619486.0,100000.0,0.1,0.1,enabled,st,,,,
1627,vidy,btc,10,2,st,vidybtc,offline,8,1.0,530000000.0,0.0001,1.0,530000000.0,530000000.0,530000000.0,1.1,0.9,1.0,53000000.0,20.0,0.1,0.1,enabled,,,,,
1628,gari,usdt,6,2,main,gariusdt,offline,8,0.01,5000000.0,10.0,0.01,5000000.0,5000000.0,5000000.0,1.1,0.9,0.01,500000.0,100000.0,0.1,0.1,enabled,st,,,,
1629,titan,btc,8,2,main,titanbtc,offline,8,0.1,12500000.0,0.0001,0.1,12500000.0,12500000.0,12500000.0,1.1,0.9,0.1,1250000.0,9.0,0.1,0.1,enabled,,,,,
1630,top,btc,10,2,main,topbtc,offline,8,1.0,100000000.0,0.0001,1.0,100000000.0,100000000.0,100000000.0,1.1,0.9,1.0,10000000.0,20.0,0.1,0.1,enabled,,,,,
1631,mir,ustc,4,4,st,mirust,offline,8,0.001,553924.0,1.0,0.001,553924.0,15591.9518,553924.0,1.03,0.9,0.001,55392.0,7615.541,0.1,0.03,enabled,"alts,abnormalmarket",,,,
1632,bkbt,eth,12,2,st,bkbteth,offline,8,1.0,1250000000.0,0.001,1.0,1250000000.0,1250000000.0,1250000000.0,1.1,0.9,1.0,125000000.0,340.0,0.1,0.1,enabled,hadax,,,,
1633,order,usdt,4,4,main,orderusdt,online,8,0.1,3333333.0,10.0,0.1,3333333.0,3333333.0,3333333.0,1.1,0.9,0.1,1704713.0,100000.0,0.1,0.1,enabled,,,,,
1634,caw,usdt,12,2,main,cawusdt,offline,8,1.0,12456092274731.0,10.0,1.0,12456092274731.0,12456092274731.0,12456092274731.0,1.1,0.9,1.0,1692000076533.0,100000.0,0.1,0.1,enabled,st,,,,
1635,rdn,eth,10,0,st,rdneth,offline,8,0.1,2058.4352,0.001,0.1,2058.4352,2058.4352,2058.4352,1.1,0.9,0.1,2058.4352,0.4159,0.1,0.1,enabled,st,,,1000.0,
1636,mdx,btc,8,2,main,mdxbtc,offline,8,0.01,398692.0,0.0001,0.01,398692.0,398692.0,398692.0,1.1,0.9,0.01,39869.0,5.0,0.1,0.1,enabled,,,,,
1637,prove,usdt,4,4,main,proveusdt,online,8,0.1,1000000.0,10.0,0.1,1000000.0,1000000.0,1000000.0,1.1,0.9,0.1,204648.0,50000.0,0.05,0.05,enabled,,3.0,,,
1638,tnb,usdt,6,2,main,tnbusdt,offline,8,1.0,350000000.0,10.0,1.0,350000000.0,350000000.0,350000000.0,1.1,0.9,1.0,35000000.0,140000.0,0.1,0.1,enabled,,,,,
1639,taiko,usdt,4,4,main,taikousdt,online,8,0.01,757575.0,10.0,0.01,757575.0,757575.0,757575.0,1.1,0.9,0.01,803605.0,100000.0,0.1,0.1,enabled,,,,,
1640,tribe,usdt,4,4,main,tribeusdt,offline,8,0.01,1000000.0,10.0,0.01,1000000.0,1000000.0,1000000.0,1.1,0.9,0.01,100000.0,100000.0,0.1,0.1,enabled,,,,,
1641,lamb,eth,12,2,main,lambeth,offline,8,0.1,7000000.0,0.001,0.1,7000000.0,7000000.0,7000000.0,1.1,0.9,0.1,700000.0,700.0,0.1,0.1,enabled,,,,,
1642,yee,eth,10,2,st,yeeeth,offline,8,1.0,800000000.0,0.001,1.0,800000000.0,800000000.0,800000000.0,1.1,0.9,1.0,80000000.0,500.0,0.1,0.1,enabled,,,,,
1643,lf,usdt,8,4,main,lfusdt,online,8,1.0,874890638.0,10.0,1.0,874890638.0,874890638.0,874890638.0,1.25,0.75,1.0,1212287322.0,50000.0,0.05,0.05,enabled,st,,,,
1644,fil,usdt,4,4,main,filusdt,online,8,0.0001,31129.0,1.0,0.0001,31129.0,31129.0,31129.0,1.1,0.9,0.0001,101883.0,100000.0,0.03,0.03,enabled,,5.0,3.0,,
1645,hana,usdt,6,4,main,hanausdt,online,8,1.0,20157226.0,10.0,1.0,20157226.0,20157226.0,20157226.0,1.1,0.9,1.0,1186079.0,50000.0,0.05,0.05,enabled,,3.0,,,
1646,lina,usdt,6,4,main,linausdt,offline,8,0.1,73871611.0,10.0,0.1,73871611.0,73871611.0,73871611.0,1.1,0.9,0.1,7387161.0,100000.0,0.1,0.1,enabled,st,,,,
1647,fox,usdt,4,4,st,foxusdt,offline,8,0.01,1061796.0,10.0,0.01,1061796.0,1061796.0,1061796.0,1.1,0.9,0.01,106179.0,100000.0,0.1,0.1,enabled,,,,,
1648,gsc,btc,10,2,st,gscbtc,offline,8,1.0,160000000.0,0.0001,1.0,160000000.0,160000000.0,160000000.0,1.1,0.9,1.0,16000000.0,70.0,0.1,0.1,enabled,hadax,,,,
1649,hbc,ht,6,2,main,hbcht,offline,8,0.01,39557.0,0.1,0.01,39557.0,39557.0,39557.0,1.1,0.9,0.01,3955.0,23529.0,0.1,0.1,enabled,,,,,
1650,xrp,husd,4,2,main,xrphusd,offline,8,0.1,2500000.0,1.0,0.1,2500000.0,2500000.0,2500000.0,1.1,0.9,0.1,250000.0,100000.0,0.1,0.1,enabled,crypto,,,,
1651,iota,eth,6,4,main,iotaeth,offline,8,0.01,500000.0,0.001,0.01,500000.0,500000.0,500000.0,1.1,0.9,0.01,50000.0,100.0,0.1,0.1,enabled,,,,,
1652,trx,usdd,6,2,main,trxusdd,offline,8,1.0,12199287.0,10.0,1.0,12199287.0,12199287.0,12199287.0,1.1,0.9,1.0,1219928.0,100000.0,0.1,0.1,enabled,zerofee,,,,
1653,tnb,eth,10,0,main,tnbeth,offline,8,1.0,350000000.0,0.001,1.0,350000000.0,350000000.0,350000000.0,1.1,0.9,1.0,35000000.0,500.0,0.1,0.1,enabled,,,,,
1654,comp,usdt,2,6,main,compusdt,online,8,0.0001,5000.0,10.0,0.0001,5000.0,5000.0,5000.0,1.1,0.9,0.0001,3831.0,100000.0,0.1,0.1,enabled,,2.0,3.0,,
1655,uip,usdt,6,2,st,uipusdt,offline,8,1.0,30000000.0,10.0,1.0,30000000.0,30000000.0,30000000.0,1.1,0.9,1.0,3000000.0,200000.0,0.1,0.1,enabled,hadax,,,,
1656,wicc,usdt,6,4,main,wiccusdt,offline,8,0.01,500000.0,10.0,0.01,500000.0,500000.0,500000.0,1.1,0.9,0.01,50000.0,100000.0,0.1,0.1,enabled,,,,,
1657,lamb,btc,10,2,main,lambbtc,offline,8,0.1,7000000.0,0.0001,0.1,7000000.0,7000000.0,7000000.0,1.1,0.9,0.1,700000.0,20.0,0.1,0.1,enabled,,,,,
1658,orbr,usdt,4,4,main,orbrusdt,offline,8,0.0001,36697.0,10.0,0.0001,36697.0,36697.0,36697.0,1.1,0.9,0.0001,3669.0,100000.0,0.1,0.1,enabled,st,,,,
1659,deso,usdt,4,4,main,desousdt,offline,8,0.001,96061.0,10.0,0.001,96061.0,96061.0,96061.0,1.1,0.9,0.001,25285.0,100000.0,0.1,0.1,enabled,st,,,,
1660,galft,usdt,4,6,main,galftusdt,offline,8,0.001,440528.0,10.0,0.001,440528.0,440528.0,440528.0,1.1,0.9,0.001,44052.0,100000.0,0.1,0.1,enabled,,,,,
1661,elu,usdt,6,4,main,eluusdt,offline,8,0.1,20000000.0,10.0,0.1,20000000.0,20000000.0,20000000.0,1.1,0.9,0.1,222222222.0,100000.0,0.1,0.1,enabled,st,,,,
1662,gun,usdt,6,4,main,gunusdt,online,8,0.1,40000000.0,10.0,0.1,40000000.0,40000000.0,40000000.0,1.1,0.9,0.1,3145918.0,50000.0,0.05,0.05,enabled,,3.0,,,
1663,theta,usdc,4,4,main,thetausdc,offline,8,0.1,782778.0,10.0,0.1,782778.0,782778.0,782778.0,1.1,0.9,0.1,78277.0,100000.0,0.1,0.1,enabled,,,,,
1664,xmx,eth,10,2,st,xmxeth,offline,8,1.0,1300000000.0,0.001,1.0,1300000000.0,1300000000.0,1300000000.0,1.1,0.9,1.0,130000000.0,250.0,0.1,0.1,enabled,hadax,,,,
1665,poolz,usdt,4,4,st,poolzusdt,offline,8,0.001,741839.0,10.0,0.001,741839.0,741839.0,741839.0,1.1,0.9,0.001,74183.0,100000.0,0.1,0.1,enabled,,,,,
1666,hive,btc,8,2,main,hivebtc,offline,8,0.1,6500000.0,0.0001,0.1,6500000.0,6500000.0,6500000.0,1.1,0.9,1.0,650000.0,19.0,0.1,0.1,enabled,,,,,
1667,uni,btc,8,2,main,unibtc,offline,8,0.01,1333333.0,0.0001,0.01,1333333.0,1333333.0,1333333.0,1.1,0.9,0.01,133333.0,9.0,0.1,0.1,enabled,,,3.0,,
1668,chz,eth,8,2,main,chzeth,offline,8,1.0,86000000.0,0.001,1.0,86000000.0,86000000.0,86000000.0,1.1,0.9,1.0,8600000.0,281.0,0.1,0.1,enabled,,,,,
1669,vpad,usdt,6,4,main,vpadusdt,offline,8,0.01,2055498.0,10.0,0.01,2055498.0,2055498.0,2055498.0,1.1,0.9,0.01,21085441.0,100000.0,0.1,0.1,enabled,st,,,,
