DATE,SPHY,JNK,SCYB,HYLB,USHY,HYG
46106,23.28,95.55,25.98,36.32,36.77,79.42
46107,23.13,94.95,25.81,36.08,36.55,78.92
46108,23.06,94.66,25.75,36,36.44,78.72
46111,23.09,94.76,25.77,36.02,36.48,78.81
46112,23.32,95.72,26,36.16,36.84,79.56
46113,23.24,95.47,25.94,36.24,36.73,79.37
46114,23.29,95.72,26,36.33,36.8,79.56
46118,23.34,95.91,26.05,36.38,36.88,79.7
46119,23.34,95.92,26.04,36.4,36.91,79.72
46120,23.49,96.48,26.21,36.63,37.11,80.19
46121,23.49,96.57,26.25,36.64,37.12,80.28
46122,23.42,96.24,26.16,36.5,36.98,79.96
46125,23.51,96.58,26.25,36.63,37.12,80.26
46126,23.57,96.87,26.34,36.75,37.25,80.5
46127,23.56,96.81,26.32,36.71,37.22,80.46
46128,23.52,96.71,26.3,36.68,37.16,80.35
46129,23.62,97.08,26.38,36.84,37.29,80.65
46132,23.6,96.99,26.36,36.8,37.29,80.58
46133,23.55,96.75,26.31,36.71,37.19,80.37
46134,23.58,96.91,26.35,36.77,37.24,80.5
46135,23.55,96.74,26.3,36.71,37.2,80.37
46136,23.57,96.89,26.35,36.75,37.25,80.48
46139,23.59,96.91,26.36,36.78,37.26,80.51
46140,23.57,96.8,26.32,36.74,37.2,80.4
46141,23.49,96.5,26.24,36.62,37.1,80.13
46142,23.55,96.83,26.29,36.74,37.23,80.38
46143,23.45,96.4,26.21,36.57,37.04,80.06
46146,23.38,96.1,26.13,36.46,36.92,79.8
46147,23.4,96.22,26.16,36.51,36.98,79.92
46148,23.48,96.54,26.25,36.63,37.1,80.16
46149,23.4,96.2,26.14,36.47,36.98,79.86
46150,23.47,96.52,26.21,36.59,37.07,80.14
46153,23.43,96.32,26.17,36.53,36.99,79.98
46154,23.39,96.18,26.14,36.48,36.96,79.87
46155,23.4,96.18,26.14,36.49,36.97,79.91
46156,23.39,96.12,26.13,36.46,36.94,79.85
46157,23.29,95.72,26.02,36.3,36.79,79.46
46160,23.29,95.77,26.03,36.32,36.79,79.54
46161,23.24,95.54,25.99,36.23,36.7,79.35
46162,23.39,96.12,26.12,36.46,36.94,79.86
46163,23.4,96.2,26.13,36.49,36.98,79.9
46164,23.41,96.25,26.19,36.48,36.99,79.91
46168,23.48,96.56,26.24,36.61,37.1,80.18
46169,23.47,96.52,26.24,36.59,37.09,80.13
46170,23.48,96.62,26.26,36.61,37.11,80.23
46171,23.53,96.77,26.31,36.67,37.17,80.31
46174,23.37,96.17,26.13,36.42,36.94,79.84
46175,23.39,96.21,26.15,36.47,36.96,79.9
46176,23.34,96,26.07,36.4,36.86,79.68
