date,open,high,low,close,volume,average,barCount
2023-09-13,90.68,91.16,90.68,91.06,10829.0,90.958,3395
2023-09-14,91.16,91.2,90.85,90.89,11822.0,90.933,4172
2023-09-15,90.88,90.96,90.63,90.64,10955.0,90.745,4083
2023-09-18,90.44,90.77,90.39,90.75,11237.0,90.659,5035
2023-09-19,90.7,90.79,90.43,90.46,11471.0,90.609,5077
2023-09-20,90.6,90.8,90.27,90.36,15828.0,90.641,6635
2023-09-21,89.84,89.84,89.53,89.56,21274.0,89.659,5958
2023-09-22,89.78,90.14,89.76,90.07,13923.0,90.012,4364
2023-09-25,89.37,89.51,89.08,89.13,19660.0,89.318,6805
2023-09-26,89.3,89.37,88.95,89.04,15723.0,89.074,5894
2023-09-27,89.29,89.35,88.21,88.51,36363.0,88.542,8087
2023-09-28,88.42,89.04,88.22,89.04,32738.0,88.633,5504
2023-09-29,89.42,89.48,88.73,88.8,17085.0,89.018,6479
2023-10-02,87.94,88.09,87.52,87.6,37181.0,87.703,7903
2023-10-03,87.41,87.52,86.59,86.62,22681.0,86.923,6506
2023-10-04,87.08,87.44,86.76,87.41,23830.0,87.218,7403
2023-10-05,87.62,87.77,87.56,87.71,16319.0,87.679,6270
2023-10-06,87.34,87.52,86.86,87.32,18011.0,87.205,7297
2023-10-09,87.9,88.32,87.79,88.3,13792.0,88.121,2715
2023-10-10,88.09,88.48,87.66,88.27,19693.0,88.264,9417
2023-10-11,88.6,88.71,88.35,88.56,26672.0,88.578,10506
2023-10-12,88.48,88.48,87.56,87.61,36128.0,87.885,6960
2023-10-13,88.04,88.14,87.84,87.95,19133.0,87.973,7301
2023-10-16,88.0,88.0,87.36,87.42,20883.0,87.493,8202
2023-10-17,86.69,87.03,86.56,86.74,36667.0,86.762,19179
2023-10-18,86.54,86.64,86.1,86.18,82556.0,86.207,7372
2023-10-19,85.9,86.24,85.69,85.82,34158.0,85.871,10474
2023-10-20,86.21,86.4,85.94,86.06,19867.0,86.193,6814
2023-10-23,85.4,86.38,85.28,86.23,28131.0,86.094,8282
2023-10-24,86.37,86.74,86.17,86.73,19732.0,86.488,6459
2023-10-25,86.43,86.43,85.85,85.92,15363.0,86.057,4939
2023-10-26,86.09,86.77,86.08,86.74,26047.0,86.475,11228
2023-10-27,86.75,86.83,86.47,86.76,19800.0,86.666,5279
2023-10-30,86.31,86.59,86.17,86.46,25986.0,86.359,4799
2023-10-31,86.57,86.75,86.53,86.62,25789.0,86.654,6884
2023-11-01,86.6,87.53,86.48,87.46,27498.0,87.133,11093
2023-11-02,88.3,88.4,87.78,87.93,21660.0,88.013,9787
2023-11-03,89.28,89.42,88.88,88.91,19019.0,89.069,8262
2023-11-06,88.5,88.5,88.24,88.34,20137.0,88.339,7936
2023-11-07,88.6,89.12,88.53,88.93,28154.0,88.866,9691
2023-11-08,88.99,89.39,88.9,89.2,15950.0,89.179,4588
2023-11-09,89.15,89.2,88.34,88.34,24224.0,88.76,10910
2023-11-10,89.03,89.03,88.44,88.59,14865.0,88.655,5321
2023-11-13,88.01,88.55,87.87,88.53,14864.0,88.291,4743
2023-11-14,89.97,90.08,89.63,89.86,15603.0,89.818,5449
2023-11-15,89.25,89.35,89.11,89.19,23516.0,89.229,9391
2023-11-16,89.63,89.98,89.55,89.76,23569.0,89.842,8203
2023-11-17,89.84,90.1,89.62,90.05,23089.0,89.894,9097
2023-11-20,89.81,90.11,89.69,90.07,17582.0,89.904,6151
2023-11-21,90.15,90.38,90.01,90.28,20010.0,90.217,7035
2023-11-22,90.46,90.57,90.04,90.25,13155.0,90.205,4346
2023-11-24,89.69,89.75,89.56,89.59,5865.0,89.618,2066
2023-11-27,89.89,90.26,89.81,90.25,42889.0,90.096,6999
2023-11-28,90.16,90.74,90.08,90.7,73054.0,90.501,8867
2023-11-29,91.06,91.29,90.96,91.12,26753.0,91.139,8970
2023-11-30,91.05,91.05,90.69,90.85,17658.0,90.845,6885
2023-12-01,90.56,91.52,90.51,91.47,23364.0,91.229,10977
2023-12-04,91.12,91.32,90.87,91.08,25337.0,91.034,7392
2023-12-05,91.59,91.82,91.43,91.56,21915.0,91.622,10404
2023-12-06,91.73,92.07,91.65,91.81,20031.0,91.897,8591
2023-12-07,91.76,92.18,91.69,91.96,31037.0,91.913,8601
2023-12-08,91.56,91.66,91.27,91.58,20435.0,91.504,8701
2023-12-11,91.74,91.74,91.28,91.62,20526.0,91.497,7266
2023-12-12,91.68,91.89,91.54,91.78,32417.0,91.769,10994
2023-12-13,92.22,93.23,92.0,93.15,26604.0,92.526,9064
2023-12-14,93.62,93.89,93.49,93.64,24869.0,93.663,10037
2023-12-15,93.42,93.6,93.16,93.34,54355.0,93.38,6856
2023-12-18,93.14,93.14,92.91,93.0,31786.0,93.015,9270
2023-12-19,93.1,93.34,93.06,93.22,16311.0,93.213,6379
2023-12-20,93.52,93.66,93.32,93.65,19745.0,93.461,6403
2023-12-21,93.77,93.89,93.48,93.73,20156.0,93.656,7716
2023-12-22,93.8,93.86,93.52,93.62,31760.0,93.598,7146
2023-12-26,93.76,93.91,93.69,93.88,15160.0,93.807,5816
2023-12-27,94.17,94.55,94.14,94.55,16067.0,94.387,6235
2023-12-28,94.3,94.42,94.08,94.19,16700.0,94.228,5848
2023-12-29,93.92,94.27,93.84,94.08,12956.0,94.061,4228
2024-01-02,93.64,93.87,93.49,93.53,17454.0,93.611,6064
2024-01-03,93.18,93.73,92.99,93.65,25359.0,93.405,9759
2024-01-04,93.38,93.38,93.05,93.14,20305.0,93.173,7365
2024-01-05,92.83,93.42,92.74,92.97,23698.0,93.133,7992
2024-01-08,93.04,93.62,93.04,93.4,23874.0,93.426,9649
2024-01-09,93.35,93.5,93.22,93.25,20126.0,93.34,9341
2024-01-10,93.59,93.61,93.16,93.2,17513.0,93.303,9352
2024-01-11,93.34,93.86,93.23,93.85,19007.0,93.512,7828
2024-01-12,94.12,94.32,93.89,93.98,13686.0,94.07,5246
2024-01-16,93.51,93.72,93.01,93.15,20484.0,93.365,7271
2024-01-17,92.93,92.93,92.64,92.85,23193.0,92.783,9072
2024-01-18,92.86,92.89,92.61,92.72,17092.0,92.743,6999
2024-01-19,92.65,92.69,92.42,92.69,19854.0,92.608,7803
2024-01-22,93.03,93.09,92.73,92.76,18386.0,92.889,6075
2024-01-23,92.64,92.65,92.39,92.48,18893.0,92.523,8734
2024-01-24,93.0,93.01,92.35,92.37,22943.0,92.521,9629
2024-01-25,92.69,92.92,92.54,92.86,31507.0,92.73,11061
2024-01-26,92.9,92.94,92.61,92.71,19115.0,92.732,6945
2024-01-29,92.99,93.22,92.88,93.21,17603.0,93.03,7342
2024-01-30,93.29,93.44,93.02,93.31,18915.0,93.232,7923
2024-01-31,93.85,94.01,93.58,93.8,23466.0,93.805,10462
2024-02-01,93.92,94.3,93.78,93.95,30430.0,94.021,11532
2024-02-02,93.04,93.25,92.8,93.02,16975.0,92.998,6596
2024-02-05,92.38,92.4,92.0,92.24,17003.0,92.203,6963
2024-02-06,92.32,92.86,92.32,92.71,15306.0,92.702,7532
2024-02-07,92.62,92.9,92.42,92.42,14520.0,92.607,6487
2024-02-08,92.28,92.38,92.13,92.24,17518.0,92.231,7103
