,from date,to date,from PFFD price,to PFFD price,PFFD cod,PFFD pct cod,from PFF price,to PFF price,PFF cod,PFF pct cod,to PFF / to PFFD,to PFF / to PFF,PFF / PFFD moving avg,yday PFF / PFFD moving avg,to PFFD unit price,PFF / PFF moving avg,yday PFF / PFF moving avg,to PFF unit price,PFFD unit price pct diff,PFF unit price pct diff,unit price pct diff
53,2021-11-04,2021-11-05,25.98,26.0,0.0199999999999995,0.0007695267790285,39.4,39.41,0.009999999999998,0.0002537749030241,1.5157692307692303,1.0,1.5129180631131889,1.5126890833179547,39.32991616626682,1.0,1.0,39.41,-0.0020341363122031537,0.0,-0.0020341363122031537
54,2021-11-05,2021-11-08,26.0,25.95,-0.0500000000000007,-0.0019249284095843,39.41,39.32,-0.0899999999999963,-0.0022862959279464,1.5152215799614643,1.0,1.5129305211498751,1.5129180631131889,39.26022373778725,1.0,1.0,39.32,-0.0015214075730418523,0.0,-0.0015214075730418523
55,2021-11-08,2021-11-09,25.95,25.92,-0.0299999999999975,-0.0011567381278236,39.32,39.26,-0.0600000000000022,-0.0015271064306508,1.5146604938271604,1.0,1.5132040229628603,1.5129305211498751,39.215159108204766,1.0,1.0,39.26,-0.0011428048616912623,0.0,-0.0011428048616912623
56,2021-11-09,2021-11-10,25.92,25.68,-0.240000000000002,-0.0093023926623135,39.26,38.89,-0.3699999999999974,-0.009469040680659,1.5144080996884737,1.0,1.5134185913714084,1.5132040229628603,38.85907930968625,1.0,1.0,38.89,-0.0007953969929539382,0.0,-0.0007953969929539382
57,2021-11-10,2021-11-11,25.68,25.64,-0.0399999999999991,-0.001558846769291,38.89,38.89,0.0,0.0,1.5167706708268331,1.0,1.5137354865819928,1.5134185913714084,38.804052682762915,1.0,1.0,38.89,-0.002212456406337849,0.0,-0.002212456406337849
58,2021-11-11,2021-11-12,25.64,25.65,0.009999999999998,0.0003899395643092,38.89,38.87,-0.0200000000000031,-0.0005144033035241,1.5153996101364522,1.0,1.5139723147041702,1.5137354865819928,38.82731523082811,1.0,1.0,38.87,-0.0010987451326807294,0.0,-0.0010987451326807294
59,2021-11-12,2021-11-15,25.65,25.57,-0.0799999999999983,-0.0031237823136832,38.87,38.85,-0.019999999999996,-0.0005146680504752,1.5193586233867815,1.0,1.5142708628700166,1.5139723147041702,38.71227208698563,1.0,1.0,38.85,-0.003551418855252887,0.0,-0.003551418855252887
60,2021-11-15,2021-11-16,25.57,25.57,0.0,0.0,38.85,38.8,-0.0500000000000042,-0.0012878301844288,1.517403206883066,1.0,1.5144711203015486,1.5142708628700166,38.71990596358632,1.0,1.0,38.8,-0.002066412850186916,0.0,-0.002066412850186916
61,2021-11-16,2021-11-17,25.57,25.55,-0.0199999999999995,-0.0007824726533818,38.8,38.79,-0.009999999999998,-0.0002577651773519,1.5181996086105674,1.0,1.5147633401143163,1.5144711203015486,38.69473712370457,1.0,1.0,38.79,-0.002458882299381375,0.0,-0.002458882299381375
62,2021-11-17,2021-11-18,25.55,25.55,0.0,0.0,38.79,38.82,0.0300000000000011,0.0007730962889884,1.5193737769080236,1.0,1.5151429984460056,1.5147633401143163,38.702203339920786,1.0,1.0,38.82,-0.003039045477715765,0.0,-0.003039045477715765
63,2021-11-18,2021-11-19,25.55,25.55,0.0,0.0,38.82,38.86,0.0399999999999991,0.0010298662084298,1.5209393346379647,1.0,1.515580209080343,1.5151429984460056,38.711903610295444,1.0,1.0,38.86,-0.003818304379349005,0.0,-0.003818304379349005
64,2021-11-19,2021-11-22,25.55,25.44,-0.1099999999999994,-0.004314578177792,38.86,38.59,-0.269999999999996,-0.0069722683997665,1.5169025157232705,1.0,1.5156619023191544,1.515580209080343,38.556360519003924,1.0,1.0,38.59,-0.0008720951423193817,0.0,-0.0008720951423193817
65,2021-11-22,2021-11-23,25.44,25.38,-0.0600000000000022,-0.0023612761856799,38.59,38.54,-0.0500000000000042,-0.0012965125633071,1.5185185185185186,1.0,1.5158542375114896,1.5156619023191544,38.46749908086014,1.0,1.0,38.54,-0.0018829579307572783,0.0,-0.0018829579307572783
66,2021-11-23,2021-11-24,25.38,25.44,0.0600000000000022,0.0023612761856799,38.54,38.66,0.1199999999999974,0.0031088107939643,1.5196540880503142,1.0,1.5162102546791423,1.5158542375114896,38.563331802292296,1.0,1.0,38.66,-0.002503602109486715,0.0,-0.002503602109486715
67,2021-11-24,2021-11-26,25.44,25.27,-0.1700000000000017,-0.0067048170718186,38.66,38.37,-0.2899999999999991,-0.0075295695213237,1.518401266323704,1.0,1.5164551636743397,1.5162102546791423,38.31463313574192,1.0,1.0,38.37,-0.001444014833607796,0.0,-0.001444014833607796
