,from date,to date,from VWOB price,to VWOB price,VWOB cod,VWOB pct cod,from EMB price,to EMB price,EMB cod,EMB pct cod,to EMB / to VWOB,to EMB / to EMB,EMB / VWOB moving avg,yday EMB / VWOB moving avg,to VWOB unit price,EMB / EMB moving avg,yday EMB / EMB moving avg,to EMB unit price,VWOB unit price pct diff,EMB unit price pct diff,unit price pct diff
728,2024-07-16,2024-07-17,64.07,63.87,-0.1999999999999957,-0.0031264680774323,90.29,89.97,-0.3200000000000074,-0.0035504308903604,1.4086425551902302,1.0,1.4074706452386574,1.4073687956080965,89.88864497548911,1.0,1.0,89.97,-0.000904655209321649,0.0,-0.000904655209321649
729,2024-07-17,2024-07-18,63.87,63.53,-0.3399999999999963,-0.0053375322950558,89.97,89.5,-0.4699999999999988,-0.0052376561482177,1.408783252006926,1.0,1.4075580490450337,1.4074706452386574,89.41661009201191,1.0,1.0,89.5,-0.000932165146473062,0.0,-0.000932165146473062
730,2024-07-18,2024-07-19,63.53,63.41,-0.1200000000000045,-0.0018906575665017,89.5,89.26,-0.2399999999999948,-0.0026851660796857,1.4076644062450718,1.0,1.407660998533795,1.4075580490450337,89.25325588994558,1.0,1.0,89.26,-7.555864716061452e-05,0.0,-7.555864716061452e-05
731,2024-07-19,2024-07-22,63.41,63.61,0.2000000000000028,0.0031491129787726,89.26,89.66,0.3999999999999915,0.0044712795261694,1.409526803961641,1.0,1.4078147580867157,1.407660998533795,89.54131611673469,1.0,1.0,89.66,-0.0013245873768123648,0.0,-0.0013245873768123648
732,2024-07-22,2024-07-23,63.61,63.65,0.0399999999999991,0.0006286343127026,89.66,89.69,0.0300000000000011,0.0003345414026183,1.4091123330714848,1.0,1.4079495191253169,1.4078147580867157,89.60740935221945,1.0,1.0,89.69,-0.0009212699047958701,0.0,-0.0009212699047958701
733,2024-07-23,2024-07-24,63.65,63.25,-0.3999999999999986,-0.0063041973957858,89.69,89.11,-0.5799999999999983,-0.0064877185052832,1.4088537549407114,1.0,1.4081123766569774,1.4079495191253169,89.05280708467629,1.0,1.0,89.11,-0.000642029817829685,0.0,-0.000642029817829685
734,2024-07-24,2024-07-25,63.25,63.3,0.0499999999999971,0.0007902015425008,89.11,89.26,0.1500000000000056,0.0016818975764955,1.4101105845181676,1.0,1.4082419779094217,1.4081123766569774,89.13351344238667,1.0,1.0,89.26,-0.001418062533424862,0.0,-0.001418062533424862
735,2024-07-25,2024-07-26,63.3,63.7,0.4000000000000057,0.0062992334279871,89.26,89.76,0.5,0.0055859825732622,1.409105180533752,1.0,1.4083137142088367,1.4082419779094217,89.70501399283017,1.0,1.0,89.76,-0.0006127769158684924,0.0,-0.0006127769158684924
736,2024-07-26,2024-07-29,63.7,63.78,0.0799999999999983,0.0012550990037938,89.76,89.91,0.1499999999999914,0.0016697282222951,1.409689557855127,1.0,1.4084755089033734,1.4083137142088367,89.8222486922396,1.0,1.0,89.91,-0.0009764671100637927,0.0,-0.0009764671100637927
737,2024-07-29,2024-07-30,63.78,63.84,0.0600000000000022,0.0009402915596417,89.91,90.03,0.1200000000000045,0.0013337781237038,1.4102443609022557,1.0,1.4086752269484861,1.4084755089033734,89.91707648839136,1.0,1.0,90.03,-0.0012550748657386027,0.0,-0.0012550748657386027
738,2024-07-30,2024-07-31,63.84,64.16,0.3199999999999932,0.0050000104167056,90.03,90.45,0.4200000000000017,0.0046542637209187,1.4097568578553616,1.0,1.4087879700806796,1.4086752269484861,90.38060256101487,1.0,1.0,90.45,-0.0007675409074485717,0.0,-0.0007675409074485717
739,2024-07-31,2024-08-01,64.16,63.83,-0.3299999999999983,-0.0051566642902931,90.45,90.01,-0.4399999999999977,-0.0048764365723102,1.410151966160113,1.0,1.4089313561954946,1.4087879700806796,89.92293613024978,1.0,1.0,90.01,-0.0009677369626416209,0.0,-0.0009677369626416209
740,2024-08-01,2024-08-02,63.83,64.29,0.4600000000000079,0.0071807988856296,90.01,90.61,0.5999999999999943,0.0066438069649751,1.4093949292269403,1.0,1.4090123711491298,1.4089313561954946,90.58019688980836,1.0,1.0,90.61,-0.00032897045173518153,0.0,-0.00032897045173518153
741,2024-08-02,2024-08-05,64.29,63.69,-0.6000000000000085,-0.009376533770321,90.61,89.69,-0.9200000000000016,-0.0102053021040575,1.4082273512325325,1.0,1.409028587577255,1.4090123711491298,89.73999791848807,1.0,1.0,89.69,0.000557297223007508,0.0,0.000557297223007508
742,2024-08-05,2024-08-06,63.69,63.42,-0.269999999999996,-0.0042482952730731,89.69,89.39,-0.2999999999999971,-0.0033504610301504,1.4094922737306843,1.0,1.4091068020218436,1.409028587577255,89.36059302414951,1.0,1.0,89.39,-0.0003290280118043642,0.0,-0.0003290280118043642
743,2024-08-06,2024-08-07,63.42,63.59,0.1700000000000017,0.0026769561691151,89.39,89.58,0.1899999999999977,0.0021232616793927,1.4087120616449127,1.0,1.4090814233545612,1.4091068020218436,89.60510154056904,1.0,1.0,89.58,0.0002801744175986437,0.0,0.0002801744175986437
744,2024-08-07,2024-08-08,63.59,63.91,0.3199999999999932,0.0050196183828737,89.58,90.0,0.4200000000000017,0.0046775895511109,1.4082303238929743,1.0,1.4090440812445495,1.4090814233545612,90.05439376659,1.0,1.0,90.0,0.0006041926232047271,0.0,0.0006041926232047271
745,2024-08-08,2024-08-09,63.91,64.17,0.2600000000000051,0.0040599681002335,90.0,90.4,0.4000000000000057,0.0044345970678657,1.4087579865980988,1.0,1.4090763643498054,1.4090440812445495,90.41835869346275,1.0,1.0,90.4,0.00020306227374788558,0.0,0.00020306227374788558
746,2024-08-09,2024-08-12,64.17,64.22,0.0499999999999971,0.0007788768989437,90.4,90.5,0.0999999999999943,0.0011055833077496,1.40921831205232,1.0,1.4091457372742695,1.4090763643498054,90.4908841185445,1.0,1.0,90.5,-0.0001007330452868367,0.0,-0.0001007330452868367
747,2024-08-12,2024-08-13,64.22,64.56,0.3400000000000034,0.0052803353003256,90.5,90.99,0.4899999999999949,0.0053997596627189,1.4093866171003715,1.0,1.4091530734359838,1.4091457372742695,90.97444879842685,1.0,1.0,90.99,-0.00017092571338736992,0.0,-0.00017092571338736992
748,2024-08-13,2024-08-14,64.56,64.66,0.0999999999999943,0.0015477483355935,90.99,91.19,0.2000000000000028,0.0021956315769747,1.410300030931024,1.0,1.4092359472230236,1.4091530734359838,91.1158377283707,1.0,1.0,91.19,-0.0008136028625782552,0.0,-0.0008136028625782552
749,2024-08-14,2024-08-15,64.66,64.7,0.0400000000000062,0.0006184292095679,91.19,91.16,-0.0300000000000011,-0.0003290375680906,1.4089644513137556,1.0,1.409245007188365,1.4092359472230236,91.17756578532963,1.0,1.0,91.16,0.00019267324655041052,0.0,0.00019267324655041052
750,2024-08-15,2024-08-16,64.7,64.95,0.25,0.0038565416097536,91.16,91.53,0.3700000000000045,0.0040505830192044,1.4092378752886836,1.0,1.4093236806405458,1.409245007188365,91.53046321688431,1.0,1.0,91.53,5.0608075186792385e-06,0.0,5.0608075186792385e-06
751,2024-08-16,2024-08-19,64.95,65.18,0.2300000000000039,0.003534930292807,91.53,91.81,0.2800000000000011,0.0030544367589206,1.4085609082540655,1.0,1.4092753858551668,1.4093236806405458,91.85971750415078,1.0,1.0,91.81,0.0005413794504688853,0.0,0.0005413794504688853
752,2024-08-19,2024-08-20,65.18,65.31,0.1299999999999954,0.0019924905051501,91.81,92.03,0.2199999999999988,0.0023933866951569,1.409125708161078,1.0,1.4092760546096463,1.4092753858551668,92.03977545020095,1.0,1.0,92.03,0.00010621461547636624,0.0,0.00010621461547636624
753,2024-08-20,2024-08-21,65.31,65.48,0.1700000000000017,0.0025995885883684,92.03,92.3,0.269999999999996,0.0029295306580408,1.4095907147220523,1.0,1.4093129025987134,1.4092760546096463,92.27939605583964,1.0,1.0,92.3,-0.00022325291648150197,0.0,-0.00022325291648150197
754,2024-08-21,2024-08-22,65.48,64.99,-0.4900000000000091,-0.0075113405966768,92.3,91.53,-0.769999999999996,-0.0083773541121184,1.4083705185413142,1.0,1.4092258992998707,1.4093129025987134,91.59124553989038,1.0,1.0,91.53,0.0006689070074139558,0.0,0.0006689070074139558
755,2024-08-22,2024-08-23,64.99,65.61,0.6200000000000045,0.0094947114505287,91.53,92.52,0.9899999999999948,0.0107580499665504,1.410150891632373,1.0,1.409278184854802,1.4092258992998707,92.45931125306451,1.0,1.0,92.52,-0.0006561679649671827,0.0,-0.0006561679649671827
