my_fi_name,price_screen_bid,price_screen_ask,time
GBTC,50.12,50.13,2026-07-23_14-24-32
HODL,18.29,18.3,2026-07-23_14-24-32
IBIT,36.62,36.63,2026-07-23_14-24-32
ARKB,21.47,21.48,2026-07-23_14-39-32
BITB,35.14,35.15,2026-07-23_14-39-32
BRRR,18.25,18.26,2026-07-23_14-39-32
BTC,28.64,28.65,2026-07-23_14-39-32
BTCW,68.36,68.43,2026-07-23_14-39-32
EZBC,37.4,37.43,2026-07-23_14-39-32
FBTC,56.34,56.35,2026-07-23_14-39-32
GBTC,50.18,50.19,2026-07-23_14-39-32
HODL,18.31,18.32,2026-07-23_14-39-32
IBIT,36.67,36.68,2026-07-23_14-39-32
ARKB,21.46,21.47,2026-07-23_14-54-32
BITB,35.13,35.14,2026-07-23_14-54-32
BRRR,18.25,18.26,2026-07-23_14-54-32
BTC,28.62,28.63,2026-07-23_14-54-32
BTCW,68.33,68.39,2026-07-23_14-54-32
EZBC,37.39,37.41,2026-07-23_14-54-32
FBTC,56.32,56.33,2026-07-23_14-54-32
GBTC,50.16,50.17,2026-07-23_14-54-32
HODL,18.3,18.31,2026-07-23_14-54-32
IBIT,36.65,36.66,2026-07-23_14-54-32
ARKB,21.49,21.5,2026-07-23_15-09-32
BITB,35.18,35.18,2026-07-23_15-09-32
BRRR,18.27,18.28,2026-07-23_15-09-32
BTC,28.66,28.67,2026-07-23_15-09-32
BTCW,68.43,68.48,2026-07-23_15-09-32
EZBC,37.44,37.46,2026-07-23_15-09-32
FBTC,56.4,56.41,2026-07-23_15-09-32
GBTC,50.22,50.23,2026-07-23_15-09-32
HODL,18.33,18.34,2026-07-23_15-09-32
IBIT,36.7,36.71,2026-07-23_15-09-32
ARKB,21.47,21.48,2026-07-23_15-24-32
BITB,35.15,35.16,2026-07-23_15-24-32
BRRR,18.26,18.27,2026-07-23_15-24-32
BTC,28.64,28.65,2026-07-23_15-24-32
BTCW,68.37,68.43,2026-07-23_15-24-32
EZBC,37.41,37.43,2026-07-23_15-24-32
FBTC,56.34,56.35,2026-07-23_15-24-32
GBTC,50.18,50.19,2026-07-23_15-24-32
HODL,18.31,18.32,2026-07-23_15-24-32
IBIT,36.67,36.68,2026-07-23_15-24-32
ARKB,21.47,21.48,2026-07-23_15-39-32
BITB,35.15,35.15,2026-07-23_15-39-32
BRRR,18.25,18.26,2026-07-23_15-39-32
BTC,28.63,28.64,2026-07-23_15-39-32
BTCW,68.35,68.43,2026-07-23_15-39-32
EZBC,37.4,37.42,2026-07-23_15-39-32
