date,close,symbol,time
2026-04-29,43.84,EZBC,13:15:00
2026-04-29,43.92,EZBC,13:30:00
2026-04-29,44.02,EZBC,13:45:00
2026-04-29,43.43,EZBC,14:00:00
2026-04-29,43.41,EZBC,14:15:00
2026-04-29,43.45,EZBC,14:30:00
2026-04-29,43.62,EZBC,14:45:00
2026-04-29,43.65,EZBC,15:00:00
2026-04-29,43.63,EZBC,15:15:00
2026-04-29,43.57,EZBC,15:30:00
2026-04-29,43.65,EZBC,15:45:00
2026-04-30,44.29,EZBC,09:30:00
2026-04-30,44.17,EZBC,09:45:00
2026-04-30,44.13,EZBC,10:00:00
2026-04-30,44.12,EZBC,10:15:00
2026-04-30,44.11,EZBC,10:30:00
2026-04-30,44.08,EZBC,10:45:00
2026-04-30,44.17,EZBC,11:00:00
2026-04-30,44.21,EZBC,11:15:00
2026-04-30,44.17,EZBC,11:30:00
2026-04-30,44.18,EZBC,11:45:00
2026-04-30,44.18,EZBC,12:00:00
2026-04-30,44.12,EZBC,12:15:00
2026-04-30,44.11,EZBC,12:30:00
2026-04-30,44.06,EZBC,12:45:00
2026-04-30,44.03,EZBC,13:00:00
2026-04-30,43.99,EZBC,13:15:00
2026-04-30,44.0,EZBC,13:30:00
2026-04-30,44.05,EZBC,13:45:00
2026-04-30,44.06,EZBC,14:00:00
2026-04-30,44.08,EZBC,14:15:00
2026-04-30,44.14,EZBC,14:30:00
2026-04-30,44.12,EZBC,14:45:00
2026-04-30,44.18,EZBC,15:00:00
2026-04-30,44.19,EZBC,15:15:00
2026-04-30,44.17,EZBC,15:30:00
2026-04-30,44.16,EZBC,15:45:00
2026-05-01,45.27,EZBC,09:30:00
2026-05-01,45.56,EZBC,09:45:00
2026-05-01,45.52,EZBC,10:00:00
2026-05-01,45.27,EZBC,10:15:00
2026-05-01,45.22,EZBC,10:30:00
2026-05-01,45.31,EZBC,10:45:00
2026-05-01,45.39,EZBC,11:00:00
2026-05-01,45.44,EZBC,11:15:00
2026-05-01,45.5,EZBC,11:30:00
2026-05-01,45.37,EZBC,11:45:00
2026-05-01,45.34,EZBC,12:00:00
2026-05-01,45.3,EZBC,12:15:00
2026-05-01,45.27,EZBC,12:30:00
2026-05-01,45.23,EZBC,12:45:00
2026-05-01,45.3,EZBC,13:00:00
2026-05-01,45.25,EZBC,13:15:00
2026-05-01,45.38,EZBC,13:30:00
2026-05-01,45.44,EZBC,13:45:00
2026-05-01,45.42,EZBC,14:00:00
2026-05-01,45.47,EZBC,14:15:00
2026-05-01,45.37,EZBC,14:30:00
2026-05-01,45.36,EZBC,14:45:00
2026-05-01,45.4,EZBC,15:00:00
2026-05-01,45.36,EZBC,15:15:00
2026-05-01,45.31,EZBC,15:30:00
2026-05-01,45.33,EZBC,15:45:00
2026-05-04,45.58,EZBC,09:30:00
2026-05-04,45.54,EZBC,09:45:00
2026-05-04,45.64,EZBC,10:00:00
2026-05-04,45.82,EZBC,10:15:00
2026-05-04,45.99,EZBC,10:30:00
2026-05-04,46.39,EZBC,10:45:00
2026-05-04,46.33,EZBC,11:00:00
2026-05-04,46.09,EZBC,11:15:00
2026-05-04,46.21,EZBC,11:30:00
2026-05-04,46.27,EZBC,11:45:00
2026-05-04,46.09,EZBC,12:00:00
2026-05-04,46.41,EZBC,12:15:00
2026-05-04,46.42,EZBC,12:30:00
2026-05-04,46.27,EZBC,12:45:00
2026-05-04,46.48,EZBC,13:00:00
2026-05-04,46.52,EZBC,13:15:00
2026-05-04,46.42,EZBC,13:30:00
2026-05-04,46.47,EZBC,13:45:00
