BWX_price,IGOV_price,BWX_price_chg,IGOV_price_chg,IGOV/BWX,IGOV/IGOV,IGOV/BWX_moving_avg,IGOV/IGOV_moving_avg,IGOV/BWX_prev_moving_avg,IGOV/IGOV_prev_moving_avg,BWX_scaled_price,IGOV_scaled_price,BWX_scaled_comm,IGOV_scaled_comm,BWX_scaled_price_minus_comm,IGOV_scaled_price_minus_comm,BWX_scaled_price_plus_comm,IGOV_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,BWX_shs_per_unit,IGOV_shs_per_unit,BWX_current_shs,IGOV_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,BWX_tgt_shs,IGOV_tgt_shs,BWX_tgt_inv_amt,IGOV_tgt_inv_amt,gross_inv_amt,net_inv_amt,BWX_shs_to_trade,IGOV_shs_to_trade,BWX_shs_to_buy,IGOV_shs_to_buy,BWX_shs_to_sell,IGOV_shs_to_sell,BWX_daily_comm,IGOV_daily_comm,daily_comm,BWX_daily_profit,IGOV_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
23.06,42.65,0.0,0.0399999999999991,1.849522983521249,1.0,1.8437255644551385,1.0,1.8432389668681048,1.0,42.50509057597849,42.65,0.0092161948343405,0.005,42.49587438114416,42.645,42.51430677081283,42.655,42.51430677081283,42.645,0.130693229187166,0.0030643195589019,BWX,IGOV,2025-09-10,False,4322.0,2345.0,4325,-2347,BWX,IGOV,0.1306932291871732,0.003064319558902,1,True,False,False,1,BWX,IGOV,4322,-2345,99734.5,-100005.67,199740.16999999998,-271.16999999999825,-3,2,0,2,3,0,-0.015,-0.01,-0.025,0.0,-93.87999999999788,-93.87999999999788,-93.90499999999788,-180.69499999984896
23.14,42.83,0.0800000000000018,0.1799999999999997,1.8509075194468447,1.0,1.8441098317224127,1.0,1.8437255644551385,1.0,42.6638095614919,42.83,0.0092186278222756,0.005,42.65459093366962,42.825,42.67302818931418,42.835,42.67302818931418,42.825,0.151971810685815,0.0035482561448941,BWX,IGOV,2025-09-11,False,4305.0,2335.0,4322,-2345,BWX,IGOV,0.1519718106858221,0.0035482561448942,1,True,False,False,1,BWX,IGOV,4305,-2335,99665.31999999999,-100014.25,199679.57,-348.93000000000757,-17,10,0,10,17,0,-0.085,-0.05,-0.135,345.7600000000078,-422.0999999999993,-76.3399999999915,-76.47499999999151,-257.16999999984046
23.06,42.66,-0.0800000000000018,-0.1700000000000017,1.849956634865568,1.0,1.844454219699345,1.0,1.8441098317224127,1.0,42.52517271951884,42.66,0.009220549158612,0.005,42.51595217036023,42.655,42.534393268677455,42.665,42.534393268677455,42.655,0.1206067313225389,0.0028271620094359,BWX,IGOV,2025-09-12,False,4323.0,2344.0,4305,-2335,BWX,IGOV,0.120606731322546,0.0028271620094361,1,True,False,False,1,BWX,IGOV,4323,-2344,99617.7,-100008.05,199625.75,-390.3500000000058,18,-9,18,0,0,9,-0.09,-0.045,-0.135,-344.40000000000776,396.95000000000397,52.5499999999962,52.414999999996205,-204.75499999984424
23.16,42.86,0.1000000000000014,0.2000000000000028,1.850604490500864,1.0,1.8448963884266547,1.0,1.844454219699345,1.0,42.71755972823683,42.86,0.0092222710984967,0.005,42.708337457138335,42.855,42.72678199933532,42.865,42.72678199933532,42.855,0.128218000664674,0.0029915539119149,BWX,IGOV,2025-09-15,False,4303.0,2333.0,4323,-2344,BWX,IGOV,0.128218000664674,0.0029915539119149,1,True,False,False,1,BWX,IGOV,4303,-2333,99688.37999999999,-99995.04,199683.41999999998,-306.6600000000035,-20,11,0,11,20,0,-0.1,-0.055,-0.155,432.30000000000604,-468.80000000000655,-36.50000000000051,-36.65500000000051,-241.40999999984476
23.27,43.09,0.1099999999999994,0.2300000000000039,1.8517404383326173,1.0,1.845347106280376,1.0,1.8448963884266547,1.0,42.93073895868825,43.09,0.0092244819421332,0.005,42.92151447674612,43.085,42.93996344063039,43.095000000000006,42.93996344063039,43.085,0.1450365593696148,0.0033658983376564,BWX,IGOV,2025-09-16,False,4282.0,2321.0,4303,-2333,BWX,IGOV,0.1450365593696077,0.0033658983376562,1,True,False,False,1,BWX,IGOV,4282,-2321,99657.48,-99992.38,199649.86,-334.90000000000873,-21,12,0,12,21,0,-0.105,-0.06,-0.16499999999999998,473.3299999999974,-536.5900000000091,-63.2600000000117,-63.4250000000117,-304.83499999985645
23.22,43.02,-0.0500000000000007,-0.0700000000000002,1.8527131782945736,1.0,1.845897063402364,1.0,1.845347106280376,1.0,42.84895980783032,43.02,0.0092267355314018,0.005,42.83973307229892,43.015,42.85818654336172,43.025000000000006,42.85818654336172,43.015,0.1568134566382824,0.0036451291640697,BWX,IGOV,2025-09-17,False,4290.0,2325.0,4282,-2321,BWX,IGOV,0.1568134566382824,0.0036451291640697,1,True,False,False,1,BWX,IGOV,4290,-2325,99642.14,-100011.89000000001,199654.03000000003,-369.75000000001455,8,-4,8,0,0,4,-0.04,-0.02,-0.06,-214.10000000000298,162.47000000000045,-51.630000000002525,-51.69000000000253,-356.524999999859
23.08,42.68,-0.1400000000000005,-0.3400000000000034,1.849220103986136,1.0,1.8462838327938096,1.0,1.845897063402364,1.0,42.60330422332654,42.68,0.0092294853170118,0.005,42.594074738009525,42.675,42.612533708643554,42.685,42.612533708643554,42.675,0.0624662913564435,0.0014635963298135,BWX,IGOV,2025-09-18,False,4325.0,2343.0,4290,-2325,BWX,IGOV,0.0624662913564435,0.0014635963298135,1,True,False,False,1,BWX,IGOV,4325,-2343,99613.79999999999,-100021.5,199635.3,-407.70000000001164,35,-18,35,0,0,18,-0.17500000000000002,-0.09,-0.265,-600.6000000000022,790.500000000008,189.90000000000578,189.6350000000058,-166.88999999985322
23.04,42.55,-0.0399999999999991,-0.1300000000000025,1.8467881944444444,1.0,1.846641695943097,1.0,1.8462838327938096,1.0,42.538379507569374,42.55,0.009231419163969,0.005,42.52914808840541,42.545,42.54761092673334,42.555,42.54761092673334,42.545,-0.0026109267333467,-6.136138033717346e-05,BWX,IGOV,2025-09-19,False,4339.0,2350.0,4325,-2343,BWX,IGOV,-0.0026109267333396,-6.136138033700646e-05,1,False,True,False,0,,,0,0,99820.99999999999,-99999.24,199820.24,-178.2400000000198,-4325,2343,0,2343,4325,0,-21.625,-11.715,-33.34,-172.9999999999961,304.5900000000059,131.59000000000978,98.25000000000978,-68.63999999984344
23.09,42.65,0.0500000000000007,0.1000000000000014,1.8471199653529664,1.0,1.8468672594281368,1.0,1.846641695943097,1.0,42.638956759326106,42.65,0.0092332084797154,0.005,42.62972355084639,42.645,42.64818996780582,42.655,42.64818996780582,42.645,-0.0031899678058238,-7.47940868891867e-05,BWX,IGOV,2025-09-22,False,4330.0,2345.0,0,0,,,0.0,0.0,0,False,True,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-68.63999999984344
23.11,42.72,0.0199999999999995,0.0700000000000002,1.8485504110774555,1.0,1.847226418895244,1.0,1.8468672594281368,1.0,42.68110236538424,42.72,0.0092343362971406,0.005,42.67186802908709,42.715,42.690336701681375,42.725,42.690336701681375,42.715,0.0246632983186216,0.0005773243988441,BWX,IGOV,2025-09-23,False,4324.0,2341.0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-68.63999999984344
