SPMB_price,VMBS_price,MBB_price,SPMB_price_chg,VMBS_price_chg,MBB_price_chg,MBB/SPMB,MBB/VMBS,MBB/MBB,MBB/SPMB_moving_avg,MBB/VMBS_moving_avg,MBB/MBB_moving_avg,MBB/SPMB_prev_moving_avg,MBB/VMBS_prev_moving_avg,MBB/MBB_prev_moving_avg,SPMB_scaled_price,VMBS_scaled_price,MBB_scaled_price,SPMB_scaled_comm,VMBS_scaled_comm,MBB_scaled_comm,SPMB_scaled_price_minus_comm,VMBS_scaled_price_minus_comm,MBB_scaled_price_minus_comm,SPMB_scaled_price_plus_comm,VMBS_scaled_price_plus_comm,MBB_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,SPMB_shs_per_unit,VMBS_shs_per_unit,MBB_shs_per_unit,SPMB_current_shs,VMBS_current_shs,MBB_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,SPMB_tgt_shs,VMBS_tgt_shs,MBB_tgt_shs,SPMB_tgt_inv_amt,VMBS_tgt_inv_amt,MBB_tgt_inv_amt,gross_inv_amt,net_inv_amt,SPMB_shs_to_trade,VMBS_shs_to_trade,MBB_shs_to_trade,SPMB_shs_to_buy,VMBS_shs_to_buy,MBB_shs_to_buy,SPMB_shs_to_sell,VMBS_shs_to_sell,MBB_shs_to_sell,SPMB_daily_comm,VMBS_daily_comm,MBB_daily_comm,daily_comm,SPMB_daily_profit,VMBS_daily_profit,MBB_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
21.74,45.71,92.48,0.129999999999999,0.2199999999999988,0.5100000000000051,4.253909843606256,2.0231896740319404,1.0,4.257426566239615,2.022157271712611,1.0,4.257539644157114,2.0221042274887746,1.0,92.55891186397564,92.43038423851188,92.48,0.0212876982207855,0.0101105211374438,0.005,92.53762416575486,92.42027371737444,92.475,92.58019956219644,92.44049475964934,92.485,92.44049475964934,92.53762416575486,0.0971294061055232,0.0010502747199991,VMBS,SPMB,2025-02-05,False,4602.0,2186.0,1081.0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.73,45.66,92.39,-0.009999999999998,-0.0500000000000042,-0.0900000000000034,4.251725724804418,2.0234340779675866,1.0,4.256916500749247,2.022219344008682,1.0,4.257426566239615,2.022157271712611,1.0,92.51387928438685,92.3317010263978,92.39,0.021287132831198,0.010110786358563,0.005,92.49259215155564,92.32159024003924,92.385,92.53516641721804,92.34181181275638,92.395,92.34181181275638,92.49259215155564,0.150780338799251,0.0016319984716879,VMBS,SPMB,2025-02-06,False,4607.0,2188.0,1082.0,0,0,0,,,0.0,0.0,0,True,False,False,1,VMBS,SPMB,-4607,2188,0,0.0,0.0,0.0,0.0,0.0,-4607,2188,0,0,2188,0,4607,0,0,-23.035,-10.94,-0.0,-33.975,-0.0,-0.0,-0.0,0.0,-33.975,-33.975
21.67,45.56,92.18,-0.0599999999999987,-0.0999999999999943,-0.2099999999999937,4.253807106598985,2.023266022827041,1.0,4.256592837387607,2.022262414449058,1.0,4.256916500749247,2.022219344008682,1.0,92.2473805712362,92.13231331303555,92.18,0.0212845825037462,0.0101110967200434,0.005,92.22609598873244,92.12220221631551,92.175,92.26866515373996,92.1424244097556,92.185,92.1424244097556,92.22609598873244,0.0836715789768334,0.0009076977541422,VMBS,SPMB,2025-02-07,False,4619.0,2194.0,1085.0,-4607,2188,0,VMBS,SPMB,0.0836715789768334,0.0009076977541422,1,False,True,False,0,,,0,0,0,-100110.11,99904.07999999999,0.0,200014.19,-206.0300000000134,4607,-2188,0,4607,0,0,0,2188,0,-23.035,-10.94,-0.0,-33.975,276.419999999994,-218.79999999998753,-0.0,57.620000000006456,23.645000000006455,-10.329999999993547
21.68,45.55,92.2,0.009999999999998,-0.0100000000000051,0.019999999999996,4.252767527675277,2.024149286498353,1.0,4.25654324384656,2.022375395861311,1.0,4.256592837387607,2.022262414449058,1.0,92.28293271456332,92.1140529781546,92.2,0.021282964186938,0.0101113120722452,0.005,92.26164975037638,92.10394166608236,92.195,92.30421567875024,92.12416429022684,92.205,92.12416429022684,92.26164975037638,0.1374854601495485,0.0014911655113833,VMBS,SPMB,2025-02-10,False,4618.0,2194.0,1085.0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-10.329999999993547
21.64,45.47,91.95,-0.0399999999999991,-0.0799999999999983,-0.25,4.249075785582255,2.022212447767759,1.0,4.256161423139803,2.0223557586257064,1.0,4.25654324384656,2.022375395861311,1.0,92.11159579683957,91.9574092498138,91.95,0.0212827162192328,0.0101118769793065,0.005,92.09031308062032,91.9472973728345,91.945,92.13287851305878,91.96752112679312,91.955,91.955,92.09031308062032,0.1353130806203211,0.0014715941339893,MBB,SPMB,2025-02-11,False,4631.0,2200.0,1088.0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-10.329999999993547
21.51,45.25,91.44,-0.129999999999999,-0.2199999999999988,-0.5100000000000051,4.2510460251046025,2.020773480662984,1.0,4.255866665571504,2.022366958904109,1.0,4.256161423139803,2.0223557586257064,1.0,91.55003221173716,91.51159807781322,91.44,0.021280807115699,0.0101117787931285,0.005,91.52875140462146,91.50148629902009,91.435,91.57131301885286,91.52170985660636,91.445,91.445,91.52875140462146,0.0837514046214664,0.0009159164984849,MBB,SPMB,2025-02-12,False,4656.0,2212.0,1094.0,0,0,0,,,0.0,0.0,0,False,True,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-10.329999999993547
21.64,45.54,92.07,0.129999999999999,0.2899999999999991,0.6299999999999955,4.2546210720887245,2.0217391304347827,1.0,4.255818389567001,2.02233665878868,1.0,4.255866665571504,2.022366958904109,1.0,92.09695464296736,92.09859130849313,92.07,0.0212793333278575,0.0101118347945205,0.005,92.0756753096395,92.0884794736986,92.065,92.1182339762952,92.10870314328764,92.075,92.075,92.0884794736986,0.0134794736986094,0.0001464046236408,MBB,VMBS,2025-02-13,False,4622.0,2196.0,1086.0,0,0,0,,,0.0,0.0,0,False,True,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.329999999993547
21.74,45.73,92.43,0.0999999999999978,0.1899999999999977,0.3600000000000136,4.251609935602577,2.02121145856112,1.0,4.255335195040761,2.022249582191245,1.0,4.255818389567001,2.02233665878868,1.0,92.5214917891866,92.48145540640634,92.43,0.021279091947835,0.0101116832939434,0.005,92.50021269723877,92.4713437231124,92.425,92.54277088113444,92.49156708970028,92.435,92.435,92.50021269723877,0.0652126972387634,0.000705536051485,MBB,SPMB,2025-02-14,False,4605.0,2188.0,1082.0,0,0,0,,,0.0,0.0,0,False,True,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.329999999993547
21.64,45.52,91.99,-0.0999999999999978,-0.2099999999999937,-0.4400000000000119,4.250924214417744,2.0208699472759224,1.0,4.254980429471551,2.022222675670689,1.0,4.255335195040761,2.022249582191245,1.0,92.08545362068207,92.05280098134548,91.99,0.0212766759752038,0.0101112479109562,0.005,92.06417694470689,92.04268973343451,91.985,92.10673029665728,92.06291222925644,91.995,91.995,92.06417694470689,0.0691769447068821,0.0007520050517108,MBB,SPMB,2025-02-18,False,4626.0,2198.0,1087.0,0,0,0,,,0.0,0.0,0,False,True,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-10.329999999993547
21.69,45.6,92.13,0.0500000000000007,0.0799999999999983,0.1400000000000005,4.247579529737205,2.020394736842105,1.0,4.254483074323395,2.022142544496956,1.0,4.254980429471551,2.022222675670689,1.0,92.29052551523792,92.21335401058342,92.13,0.0212749021473577,0.0101111133783534,0.005,92.26925061309058,92.20324289720506,92.125,92.31180041738529,92.22346512396176,92.135,92.135,92.26925061309058,0.134250613090586,0.0014571867262627,MBB,SPMB,2025-02-19,False,4617.0,2194.0,1085.0,0,0,0,,,0.0,0.0,0,False,False,False,0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.329999999993547
