DATE,SPHY_price,SCYB_price,HYLB_price,USHY_price,HYG_price,JNK_price,SPHY_price_chg,SCYB_price_chg,HYLB_price_chg,USHY_price_chg,HYG_price_chg,JNK_price_chg,JNK/SPHY,JNK/SCYB,JNK/HYLB,JNK/USHY,JNK/HYG,JNK/JNK,JNK/SPHY_moving_avg,JNK/SCYB_moving_avg,JNK/HYLB_moving_avg,JNK/USHY_moving_avg,JNK/HYG_moving_avg,JNK/JNK_moving_avg,JNK/SPHY_prev_moving_avg,JNK/SCYB_prev_moving_avg,JNK/HYLB_prev_moving_avg,JNK/USHY_prev_moving_avg,JNK/HYG_prev_moving_avg,JNK/JNK_prev_moving_avg,SPHY_scaled_price,SCYB_scaled_price,HYLB_scaled_price,USHY_scaled_price,HYG_scaled_price,JNK_scaled_price,ln(SPHY*/JNK),ln(SCYB*/JNK),ln(HYLB*/JNK),ln(USHY*/JNK),ln(HYG*/JNK),ln(JNK*/JNK)
2025-07-16,23.6,26.33,36.63,37.21,80.06,96.44,0.060000000000002274,0.05999999999999872,0.0800000000000054,0.07000000000000028,0.21000000000000796,0.21999999999999886,4.0864406779661016,3.662742119255602,2.6328146328146325,2.591776404192421,1.2045965525855609,1.0,4.087643215732532,3.6643357874740277,2.633443875421176,2.5919502103157552,1.2057445665750879,1.0,4.08758012561617,3.66432201102633,2.633452883006357,2.591912983839251,1.205826610173174,1.0,96.46689096454162,96.48159855032326,96.46337910452287,96.44508212865854,96.53847841046432,96.44,0.00027879734706562055,0.00043124825090114986,0.0002423918621422393,5.269592239716101e-05,0.001020615561111813,0.0
2025-07-17,23.62,26.36,36.67,37.27,80.14,96.56,0.019999999999999574,0.030000000000001137,0.03999999999999915,0.060000000000002274,0.0799999999999983,0.12000000000000455,4.088060965283658,3.663125948406677,2.6332151622579767,2.5908237188086933,1.204891439980035,1.0,4.0878902537665365,3.6644771823341786,2.6334526269370437,2.5919404089692004,1.2056907626455993,1.0,4.087643215732532,3.6643357874740277,2.633443875421176,2.5919502103157552,1.2057445665750879,1.0,96.55013275560242,96.59189135781537,96.56838691169453,96.6019843384682,96.62836956532755,96.56,-0.0001021929224051507,0.0003302205107180242,8.685322581424815e-05,0.00043470602430524893,0.0007078021139233998,0.0
2025-07-18,23.67,26.39,36.71,37.32,80.25,96.7,0.05000000000000071,0.030000000000001137,0.03999999999999915,0.04999999999999716,0.10999999999999943,0.14000000000000057,4.085340092944656,3.6642667677150436,2.634159629528739,2.5911039657020365,1.2049844236760126,1.0,4.087855725194009,3.6645989176664955,2.6335556701418756,2.5920219230437755,1.205638286783517,1.0,4.0878902537665365,3.6644771823341786,2.6334526269370437,2.5919404089692004,1.2056907626455993,1.0,96.76036230665393,96.70555284179898,96.67404593485888,96.73121606273057,96.75668370230935,96.7,0.0006240276601680461,5.742174119518991e-05,-0.00026843380321789844,0.00032276137881934956,0.0005860092589895375,0.0
2025-07-21,23.69,26.44,36.77,37.37,80.36,96.83,0.019999999999999574,0.05000000000000071,0.060000000000002274,0.04999999999999716,0.10999999999999943,0.12999999999999545,4.0873786407766985,3.662254160363086,2.6333967908621156,2.591115868343591,1.204952712792434,1.0,4.088001397470534,3.66455593478248,2.6335478961108163,2.5919924754159784,1.2055914362075995,1.0,4.087855725194009,3.6645989176664955,2.6335556701418756,2.5920219230437755,1.205638286783517,1.0,96.84130212984608,96.89199538310214,96.83584199111678,96.86385926414589,96.88509272592341,96.83,0.0001167145543467643,0.0006400448756057594,6.033062989834289e-05,0.0003496162926321412,0.0005688016006757687,0.0
2025-07-22,23.73,26.46,36.84,37.43,80.5,97.01,0.03999999999999915,0.019999999999999574,0.07000000000000028,0.060000000000002274,0.14000000000000057,0.18000000000000682,4.088074167720186,3.6662887377173092,2.6332790445168293,2.5917713064386856,1.2050931677018635,1.0,4.088125444839594,3.66477124519664,2.633598416723226,2.5920539047894975,1.205545906975432,1.0,4.088001397470534,3.66455593478248,2.6335478961108163,2.5919924754159784,1.2055914362075995,1.0,97.00827316197578,96.96415003434441,97.01990449272247,97.01827835482007,97.05011061471176,97.01,-1.7800777175574413e-05,-0.00047274305881867966,0.00010209243525595084,8.533142586504661e-05,0.0004133834115201644,0.0
2025-07-23,23.74,26.49,36.85,37.46,80.54,97.08,0.00999999999999801,0.029999999999997584,0.00999999999999801,0.030000000000001137,0.04000000000000625,0.06999999999999318,4.089300758213985,3.664779161947905,2.634464043419267,2.5915643352909767,1.2053637943878817,1.0,4.0883657256738255,3.664765320807303,2.633712579961437,2.5920690017470243,1.2055172275417763,1.0,4.088125444839594,3.66477124519664,2.633598416723226,2.5920539047894975,1.205545906975432,1.0,97.05209806049196,97.07979028525898,97.04810165625088,97.09833927341458,97.09466734780129,97.08,-0.00028745313092402413,-2.1602283429202964e-06,-0.0003286319060872841,0.00018889103221017572,0.0001510737526118182,0.0
2025-07-24,23.71,26.44,36.8,37.4,80.44,96.94,-0.029999999999997584,-0.04999999999999716,-0.05000000000000426,-0.060000000000002274,-0.10000000000000853,-0.14000000000000057,4.088570223534373,3.666414523449319,2.634239130434783,2.5919786096256683,1.2051218299353557,1.0,4.08841976516838,3.6647843032345073,2.633738806635681,2.5920646087225454,1.2054426889699228,1.0,4.0883657256738255,3.664765320807303,2.633712579961437,2.5920690017470243,1.2055172275417763,1.0,96.9351513557264,96.89639508214509,96.92062294258088,96.94338066533871,96.97180578346048,96.94,-5.001821265592905e-05,-0.00044991466718084116,-0.0001999071001581824,3.487318332746252e-05,0.0003280438095783462,0.0
2025-07-25,23.74,26.49,36.82,37.43,80.49,97.04,0.029999999999997584,0.04999999999999716,0.020000000000003126,0.030000000000001137,0.04999999999999716,0.10000000000000853,4.087615838247684,3.663269158172896,2.635524171645845,2.5925728025647876,1.2056156044229098,1.0,4.088375778319703,3.664683688608207,2.633765965788316,2.5919873664978432,1.2053726356503867,1.0,4.08841976516838,3.6647843032345073,2.633738806635681,2.5920646087225454,1.2054426889699228,1.0,97.05908522509733,97.08013619268209,96.97426286032578,97.02097830448487,97.02608203518908,97.04,0.00019665445755908024,0.00041351911286705234,-0.0006776526758464414,-0.00019603833539585583,-0.00014343531531971852,0.0
2025-07-28,23.73,26.47,36.81,37.42,80.45,97.0,-0.00999999999999801,-0.019999999999999574,-0.00999999999999801,-0.00999999999999801,-0.03999999999999204,-0.04000000000000625,4.0876527602191315,3.6645258783528525,2.635153490899212,2.59219668626403,1.2057178371659416,1.0,4.0884160891805745,3.6646585647564733,2.6338116838115373,2.5919982703297615,1.205327434653319,1.0,4.088375778319703,3.664683688608207,2.633765965788316,2.5919873664978432,1.2053726356503867,1.0,97.01715721952655,97.00417723745923,96.94892520066792,96.9921672543493,96.97222853807361,97.0,0.00017686291065345365,4.3063376462982164e-05,-0.0005266829961536903,-8.075321561498105e-05,-0.0002863447239375515,0.0
2025-07-29,23.74,26.47,36.84,37.44,80.5,97.02,0.00999999999999801,0.0,0.030000000000001137,0.01999999999999602,0.04999999999999716,0.01999999999999602,4.086773378264533,3.665281450698904,2.633550488599348,2.5913461538461537,1.2052173913043478,1.0,4.088406018598003,3.664670941737538,2.6337584390107356,2.5919068203574462,1.2052845224454427,1.0,4.0884160891805745,3.6646585647564733,2.6338116838115373,2.5919982703297615,1.205327434653319,1.0,97.05899795714683,97.00351220910385,97.02962243161704,97.04441524114627,97.02885848959217,97.02,0.0004018771539649763,-0.00016995662791706676,9.917495849099917e-05,0.000251619971077721,9.13016409091608e-05,0.0
