,from date,to date,from SCHH price,to SCHH price,SCHH cod,SCHH pct cod,from USRT price,to USRT price,USRT cod,USRT pct cod,to USRT / to SCHH,to USRT / to USRT,USRT / SCHH moving avg,yday USRT / SCHH moving avg,to SCHH unit price,USRT / USRT moving avg,yday USRT / USRT moving avg,to USRT unit price,SCHH unit price pct diff,USRT unit price pct diff,unit price pct diff
1112,2026-01-27,2026-01-28,21.29,21.06,-0.2300000000000004,-0.0108619721995586,58.15,57.55,-0.6000000000000014,-0.0103717437967818,2.7326685660018994,1.0,2.7332762788636042,2.7330064869271458,57.55711661468569,1.0,1.0,57.55,0.00012365203653890255,0.0,0.00012365203653890255
1113,2026-01-28,2026-01-29,21.06,21.38,0.3200000000000003,0.0150803988910698,57.55,58.42,0.8700000000000045,0.0150041617917033,2.732460243217961,1.0,2.7334924469180386,2.7332762788636042,58.43744684210385,1.0,1.0,58.42,0.00029860043505928286,0.0,0.00029860043505928286
1114,2026-01-29,2026-01-30,21.38,21.41,0.0300000000000011,0.0014021970046922,58.42,58.67,0.25,0.0042702259781737,2.740308267164876,1.0,2.7341746865089296,2.7334924469180386,58.524073288515204,1.0,1.0,58.67,-0.0024903441412615283,0.0,-0.0024903441412615283
1115,2026-01-30,2026-02-02,21.41,21.23,-0.1799999999999997,-0.0084428268864266,58.67,58.16,-0.5100000000000051,-0.0087306897125046,2.739519547809703,1.0,2.7346848580648855,2.7341746865089296,58.04652859458458,1.0,1.0,58.16,-0.0019529271350247218,0.0,-0.0019529271350247218
1116,2026-02-02,2026-02-03,21.23,21.3,0.0700000000000002,0.0032917970002146,58.16,58.33,0.1700000000000017,0.0029187075402823,2.73849765258216,1.0,2.7351504105504527,2.7346848580648855,58.24878747678206,1.0,1.0,58.33,-0.0013932643856240945,0.0,-0.0013932643856240945
1117,2026-02-03,2026-02-04,21.3,21.64,0.3399999999999998,0.0158363812629013,58.33,59.29,0.9600000000000009,0.0163241169537301,2.7398336414048057,1.0,2.7353312561187924,2.7351504105504527,59.188654884311795,1.0,1.0,59.29,-0.0017107746624032648,0.0,-0.0017107746624032648
1118,2026-02-04,2026-02-05,21.64,21.64,0.0,0.0,59.29,59.5,0.2100000000000008,0.0035356548323077,2.749537892791128,1.0,2.735811024321567,2.7353312561187924,59.19256838241067,1.0,1.0,59.5,-0.005180312622587088,0.0,-0.005180312622587088
1119,2026-02-05,2026-02-06,21.64,21.97,0.3299999999999983,0.0151344324182379,59.5,60.43,0.9299999999999996,0.0155093578218829,2.7505689576695493,1.0,2.7361125016447403,2.735811024321567,60.10576820434483,1.0,1.0,60.43,-0.005379856659997368,0.0,-0.005379856659997368
1120,2026-02-06,2026-02-09,21.97,22.03,0.0600000000000022,0.002727274417733,60.43,60.56,0.1300000000000025,0.0021489387557262,2.748978665456196,1.0,2.7365524429629833,2.7361125016447403,60.27655841123363,1.0,1.0,60.56,-0.004691330377801011,0.0,-0.004691330377801011
1121,2026-02-09,2026-02-10,22.03,22.35,0.3200000000000003,0.014421160245326,60.56,61.42,0.8599999999999994,0.0141009058834828,2.7480984340044743,1.0,2.7370306507152162,2.7365524429629833,61.16194710022268,1.0,1.0,61.42,-0.00421029828750427,0.0,-0.00421029828750427
