BNDX_price,IAGG_price,BNDX_price_chg,IAGG_price_chg,IAGG/BNDX,IAGG/IAGG,IAGG/BNDX_moving_avg,IAGG/IAGG_moving_avg,IAGG/BNDX_prev_moving_avg,IAGG/IAGG_prev_moving_avg,BNDX_scaled_price,IAGG_scaled_price,BNDX_scaled_comm,IAGG_scaled_comm,BNDX_scaled_price_minus_comm,IAGG_scaled_price_minus_comm,BNDX_scaled_price_plus_comm,IAGG_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date
48.62,49.84,0.0,0.010000000000005116,1.0250925545043192,1.0,1.0242048051995687,1.0,1.02395260760801,1.0,49.784575781901445,49.84,0.0051197630380400505,0.005,49.77945601886341,49.835,49.789695544939484,49.845000000000006,49.789695544939484,49.835,0.04530445506051706,0.0009089978944726535,BNDX,IAGG,2025-03-26,False
48.65,49.87,0.030000000000001137,0.02999999999999403,1.025077081192189,1.0,1.0244450772603944,1.0,1.0242048051995687,1.0,49.82756377295902,49.87,0.005121024025997844,0.005,49.82244274893302,49.864999999999995,49.83268479698501,49.875,49.83268479698501,49.864999999999995,0.032315203014981364,0.0006479888312609057,BNDX,IAGG,2025-03-27,False
48.82,49.98,0.1700000000000017,0.10999999999999943,1.0237607537894304,1.0,1.024693721010472,1.0,1.0244450772603944,1.0,50.01340867185245,49.98,0.0051222253863019715,0.005,50.00828644646615,49.974999999999994,50.018530897238755,49.985,49.985,50.00828644646615,0.023286446466151745,0.0004659152954412114,IAGG,BNDX,2025-03-28,False
48.82,49.99,0.0,0.010000000000005116,1.0239655878738223,1.0,1.0248885542253672,1.0,1.024693721010472,1.0,50.02554745973125,49.99,0.005123468605052361,0.005,50.0204239911262,49.985,50.0306709283363,49.995000000000005,49.995000000000005,50.0204239911262,0.0254239911261962,0.0005085815388316903,IAGG,BNDX,2025-03-31,False
48.83,50.09,0.00999999999999801,0.10000000000000142,1.0258038091337294,1.0,1.025034252550437,1.0,1.0248885542253672,1.0,50.04530810282468,50.09,0.005124442771126836,0.005,50.04018366005355,50.085,50.050432545595804,50.095000000000006,50.050432545595804,50.085,0.03456745440419695,0.0006901068956717298,BNDX,IAGG,2025-04-01,True
48.82,50.11,-0.00999999999999801,0.01999999999999602,1.0264235968865218,1.0,1.025069688720622,1.0,1.025034252550437,1.0,50.04217220951234,50.11,0.005125171262752185,0.005,50.03704703824958,50.105,50.04729738077509,50.115,50.04729738077509,50.105,0.05770261922490505,0.0011515190426043714,BNDX,IAGG,2025-04-02,False
49.0,50.3,0.17999999999999972,0.18999999999999773,1.0265306122448978,1.0,1.025076359567967,1.0,1.025069688720622,1.0,50.22841474731048,50.3,0.005125348443603111,0.005,50.223289398866875,50.294999999999995,50.23354009575409,50.305,50.23354009575409,50.294999999999995,0.06145990424590764,0.0012218668836164541,BNDX,IAGG,2025-04-03,False
49.08,50.38,0.0799999999999983,0.0800000000000054,1.0264873675631623,1.0,1.0251324252032914,1.0,1.025076359567967,1.0,50.310747727595825,50.38,0.005125381797839835,0.005,50.305622345797985,50.375,50.315873109393664,50.385000000000005,50.315873109393664,50.375,0.059126890606336246,0.0011736183129483176,BNDX,IAGG,2025-04-04,False
48.86,50.2,-0.21999999999999886,-0.17999999999999972,1.0274252967662711,1.0,1.0252047209694402,1.0,1.0251324252032914,1.0,50.08797029543282,50.2,0.005125662126016457,0.005,50.0828446333068,50.195,50.09309595755884,50.205000000000005,50.09309595755884,50.195,0.1019040424411628,0.00202996100480404,BNDX,IAGG,2025-04-07,False
48.96,50.19,0.10000000000000142,-0.010000000000005116,1.0251225490196079,1.0,1.025157310245374,1.0,1.0252047209694402,1.0,50.19402313866379,50.19,0.0051260236048472005,0.005,50.18889711505894,50.184999999999995,50.19914916226863,50.195,50.195,50.18889711505894,-0.006102884941057596,-0.00012159563540660681,IAGG,BNDX,2025-04-08,False
