SPTL_price,SCHQ_price,VGLT_price,TLT_price,SPTL_price_chg,SCHQ_price_chg,VGLT_price_chg,TLT_price_chg,TLT/SPTL,TLT/SCHQ,TLT/VGLT,TLT/TLT,TLT/SPTL_moving_avg,TLT/SCHQ_moving_avg,TLT/VGLT_moving_avg,TLT/TLT_moving_avg,TLT/SPTL_prev_moving_avg,TLT/SCHQ_prev_moving_avg,TLT/VGLT_prev_moving_avg,TLT/TLT_prev_moving_avg,SPTL_scaled_price,SCHQ_scaled_price,VGLT_scaled_price,TLT_scaled_price,SPTL_scaled_comm,SCHQ_scaled_comm,VGLT_scaled_comm,TLT_scaled_comm,SPTL_scaled_price_minus_comm,SCHQ_scaled_price_minus_comm,VGLT_scaled_price_minus_comm,TLT_scaled_price_minus_comm,SPTL_scaled_price_plus_comm,SCHQ_scaled_price_plus_comm,VGLT_scaled_price_plus_comm,TLT_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date
26.58,31.89,56.12,88.25,0.2699999999999996,0.28999999999999915,0.509999999999998,0.8599999999999994,3.3201655379984953,2.7673251803073065,1.5725231646471847,1.0,3.317312010982717,2.7642180330818613,1.5706665853269839,1.0,3.3171630189732193,2.763943963567136,1.5705195975512372,1.0,88.17019304430816,88.14217299815597,88.13755981457543,88.25,0.016585815094866098,0.01381971981783568,0.007852597987756185,0.005,88.15360722921329,88.12835327833814,88.12970721658768,88.245,88.18677885940303,88.1559927179738,88.14541241256318,88.255,88.14541241256318,88.245,0.0995875874368295,0.0011284712457431104,VGLT,TLT,2025-06-30,False
26.51,31.82,55.98,88.14,-0.06999999999999673,-0.07000000000000028,-0.14000000000000057,-0.10999999999999943,3.3247831007167106,2.769956002514142,1.57449088960343,1.0,3.3178702321664124,2.764603604858558,1.5709171158005204,1.0,3.317312010982717,2.7642180330818613,1.5706665853269839,1.0,87.94194141115184,87.95741781266483,87.92591544660455,88.14,0.016586560054913588,0.013821090165409307,0.00785333292663492,0.005,87.92535485109693,87.94359672249942,87.91806211367792,88.135,87.95852797120676,87.97123890283024,87.93376877953118,88.145,87.93376877953118,88.135,0.20123122046882713,0.0022830862317770265,VGLT,TLT,2025-07-01,True
26.35,31.63,55.66,87.58,-0.16000000000000014,-0.19000000000000128,-0.3200000000000003,-0.5600000000000023,3.3237191650853886,2.76889029402466,1.5734818541142652,1.0,3.318473798523526,2.76500005200539,1.5711542275134307,1.0,3.3178702321664124,2.764603604858558,1.5709171158005204,1.0,87.42588061758497,87.44441202167619,87.43724666545695,87.58,0.01658935116083206,0.013823018024292791,0.007854585579002602,0.005,87.40929126642413,87.43058900365189,87.42939207987796,87.575,87.4424699687458,87.45823503970048,87.44510125103595,87.585,87.4424699687458,87.575,0.13253003125420548,0.0015132453899772264,SPTL,TLT,2025-07-02,False
26.22,31.45,55.36,86.97,-0.13000000000000256,-0.17999999999999972,-0.29999999999999716,-0.6099999999999994,3.316933638443936,2.765341812400636,1.5709898843930636,1.0,3.318504741482191,2.7651315494050825,1.5711959063932075,1.0,3.318473798523526,2.76500005200539,1.5711542275134307,1.0,87.01038299728685,86.95925163556952,86.97909803514352,86.97,0.01659236899261763,0.01382500026002695,0.007855771137567153,0.005,86.99379062829424,86.94542663530949,86.97124226400595,86.965,87.02697536627947,86.97307663582954,86.9869538062811,86.975,86.97307663582954,86.99379062829424,0.02071399246469241,0.00023817399637452466,SCHQ,SPTL,2025-07-03,False
25.98,31.16,54.86,86.14,-0.23999999999999844,-0.28999999999999915,-0.5,-0.8299999999999983,3.3156274056966897,2.764441591784339,1.5701786365293475,1.0,3.3183552096557016,2.7650336289943,1.5711424972527537,1.0,3.318504741482191,2.7651315494050825,1.5711959063932075,1.0,86.21475318370733,86.16149907946237,86.19580742473136,86.14,0.016592523707410954,0.013825657747025414,0.007855979531966038,0.005,86.19816065999991,86.14767342171535,86.18795144519939,86.135,86.23134570741475,86.1753247372094,86.20366340426332,86.145,86.145,86.19816065999991,0.053160659999917925,0.0006171425586245406,TLT,SPTL,2025-07-07,False
25.94,31.13,54.78,86.03,-0.03999999999999915,-0.030000000000001137,-0.0799999999999983,-0.10999999999999943,3.3164996144949885,2.7635721169290077,1.5704636728733115,1.0,3.318323214088185,2.765015991317434,1.5711468216507891,1.0,3.3183552096557016,2.7650336289943,1.5711424972527537,1.0,86.07813413846891,86.07549687059256,86.06718599950585,86.03,0.01659177604827851,0.0138251681449715,0.007855712486263768,0.005,86.06154236242064,86.06167170244758,86.05933028701959,86.025,86.09472591451718,86.08932203873754,86.07504171199211,86.035,86.035,86.06167170244758,0.026671702447586654,0.0003100279256955324,TLT,SCHQ,2025-07-08,False
26.2,31.43,55.31,86.93,0.259999999999998,0.3000000000000007,0.5300000000000011,0.9000000000000057,3.3179389312977103,2.7658288259624566,1.5716868559030917,1.0,3.3183816513363,2.765144431321896,1.5712306131780276,1.0,3.318323214088185,2.765015991317434,1.5711468216507891,1.0,86.94006820911044,86.90445260710695,86.90013070550515,86.93,0.016591616070440924,0.01382507995658717,0.007855734108253945,0.005,86.92347659304,86.89062752715036,86.8922749713969,86.92500000000001,86.95665982518088,86.91827768706354,86.9079864396134,86.935,86.9079864396134,86.92500000000001,0.017013560386615723,0.00019571563771558404,VGLT,TLT,2025-07-09,False
26.22,31.46,55.36,86.99,0.019999999999999574,0.030000000000001137,0.04999999999999716,0.05999999999998806,3.3176964149504196,2.76509853782581,1.571351156069364,1.0,3.318282707105081,2.765106282528806,1.5712254353913768,1.0,3.3183816513363,2.765144431321896,1.5712306131780276,1.0,87.00796689803778,86.99144380938685,86.9833267455356,86.99,0.0165919082566815,0.01382572215660948,0.007856153065890138,0.005,86.9913749897811,86.97761808723024,86.97547059246972,86.985,87.02455880629446,87.00526953154346,86.9911828986015,86.99499999999999,86.9911828986015,86.9913749897811,0.0001920911795991742,2.2081984090030374e-06,VGLT,SPTL,2025-07-10,False
25.88,31.06,54.66,85.79,-0.33999999999999986,-0.40000000000000213,-0.7000000000000028,-1.1999999999999886,3.314914992272025,2.762073406310367,1.569520673252836,1.0,3.3181832507117512,2.7650322178427205,1.571178223839798,1.0,3.318282707105081,2.765106282528806,1.5712254353913768,1.0,85.8771564598795,85.88420113534471,85.88318229849266,85.79,0.016591413535525405,0.01382553141264403,0.007856127176956884,0.005,85.86056504634398,85.87037560393206,85.8753261713157,85.78500000000001,85.89374787341502,85.89802666675736,85.8910384256696,85.795,85.795,85.8753261713157,0.08032617131570419,0.0009363115901119499,TLT,VGLT,2025-07-11,False
25.85,31.01,54.58,85.61,-0.029999999999997584,-0.04999999999999716,-0.0799999999999983,-0.18000000000000682,3.311798839458414,2.760722347629797,1.5685232685965556,1.0,3.317798325967231,2.764791050960251,1.5710162156143785,1.0,3.3181832507117512,2.7650322178427205,1.571178223839798,1.0,85.77503703089877,85.74364907530277,85.75490745717617,85.61,0.016590916253558758,0.013825161089213603,0.00785589111919899,0.005,85.75844611464521,85.72982391421355,85.74705156605698,85.605,85.79162794715234,85.75747423639199,85.76276334829537,85.615,85.615,85.75844611464521,0.14344611464521506,0.0016755766224181177,TLT,SPTL,2025-07-14,False
