SPLB_price,IGLB_price,VCLT_price,SPLB_price_chg,IGLB_price_chg,VCLT_price_chg,VCLT/SPLB,VCLT/IGLB,VCLT/VCLT,VCLT/SPLB_moving_avg,VCLT/IGLB_moving_avg,VCLT/VCLT_moving_avg,VCLT/SPLB_prev_moving_avg,VCLT/IGLB_prev_moving_avg,VCLT/VCLT_prev_moving_avg,SPLB_scaled_price,IGLB_scaled_price,VCLT_scaled_price,SPLB_scaled_comm,IGLB_scaled_comm,VCLT_scaled_comm,SPLB_scaled_price_minus_comm,IGLB_scaled_price_minus_comm,VCLT_scaled_price_minus_comm,SPLB_scaled_price_plus_comm,IGLB_scaled_price_plus_comm,VCLT_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date,SPLB_shs_per_unit,IGLB_shs_per_unit,VCLT_shs_per_unit,SPLB_current_shs,IGLB_current_shs,VCLT_current_shs,current_long_etf,current_short_etf,current_max-min,current_pct_diff,current_position,open_trade,exit_trade,flatten_for_div,tgt_position,tgt_long_etf,tgt_short_etf,SPLB_tgt_shs,IGLB_tgt_shs,VCLT_tgt_shs,SPLB_tgt_inv_amt,IGLB_tgt_inv_amt,VCLT_tgt_inv_amt,gross_inv_amt,net_inv_amt,SPLB_shs_to_trade,IGLB_shs_to_trade,VCLT_shs_to_trade,SPLB_shs_to_buy,IGLB_shs_to_buy,VCLT_shs_to_buy,SPLB_shs_to_sell,IGLB_shs_to_sell,VCLT_shs_to_sell,SPLB_daily_comm,IGLB_daily_comm,VCLT_daily_comm,daily_comm,SPLB_daily_profit,IGLB_daily_profit,VCLT_daily_profit,daily_gross_profit,daily_net_profit,cumulative_net_profit
22.5,50.14,75.56,0.23999999999999844,0.46000000000000085,0.7600000000000051,3.3582222222222224,1.5069804547267651,1.0,3.3593166713562193,1.506887566093384,1.0,3.3594146265175886,1.506965794506058,1.0,75.58682909664574,75.55926493653375,75.56,0.016797073132587943,0.00753482897253029,0.005,75.57003202351315,75.55173010756123,75.555,75.60362616977834,75.56679976550627,75.565,75.565,75.57003202351315,0.0050320235131522395,6.659639376855796e-05,VCLT,SPLB,2025-09-03,False,4445.0,1994.0,1323.0,0.0,0.0,0.0,,,0.0,0.0,-0.0,False,True,True,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.1800000000093
22.7,50.59,76.25,0.1999999999999993,0.45000000000000284,0.6899999999999977,3.3590308370044055,1.5072148645977466,1.0,3.35931549973751,1.5068330875710656,1.0,3.3593166713562193,1.506887566093384,1.0,76.25648843978618,76.23344196866431,76.25,0.016796583356781098,0.007534437830466921,0.005,76.2396918564294,76.22590753083384,76.245,76.27328502314296,76.24097640649478,76.255,76.24097640649478,76.245,0.004023593505223744,5.276843941277041e-05,IGLB,VCLT,2025-09-04,False,4404.0,1976.0,1311.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.1800000000093
22.94,51.12,77.05,0.240000000000002,0.529999999999994,0.7999999999999972,3.3587619877942454,1.5072378716744914,1.0,3.3591845683921577,1.506847300483068,1.0,3.35931549973751,1.5068330875710656,1.0,77.06269756397849,77.02930743663286,77.05,0.01679657749868755,0.007534165437855328,0.005,77.04590098647981,77.021773271195,77.045,77.07949414147717,77.03684160207072,77.05499999999999,77.03684160207072,77.04590098647981,0.009059384409084714,0.00011757799362861407,IGLB,SPLB,2025-09-05,False,4360.0,1956.0,1298.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.1800000000093
23.11,51.49,77.61,0.16999999999999815,0.37000000000000455,0.5600000000000023,3.358286456079619,1.5072829675665178,1.0,3.359002622649723,1.5068630081660856,1.0,3.3591845683921577,1.506847300483068,1.0,77.63075537554276,77.58756750187318,77.61,0.01679592284196079,0.00753423650241534,0.005,77.6139594527008,77.58003326537077,77.605,77.64755129838473,77.59510173837559,77.615,77.59510173837559,77.6139594527008,0.018857714325207553,0.0002429804706250168,IGLB,SPLB,2025-09-08,False,4327.0,1941.0,1288.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.1800000000093
23.06,51.38,77.46,-0.05000000000000071,-0.10999999999999943,-0.15000000000000568,3.3590633130962706,1.5075905021409106,1.0,3.3591725541362623,1.5069172737861725,1.0,3.359002622649723,1.5068630081660856,1.0,77.45860047830261,77.42262135957348,77.46,0.016795013113248616,0.007534315040830428,0.005,77.44180546518936,77.41508704453265,77.455,77.47539549141587,77.43015567461431,77.46499999999999,77.43015567461431,77.455,0.02484432538568626,0.0003207374823868611,IGLB,VCLT,2025-09-09,False,4336.0,1945.0,1291.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,826.1800000000093
23.16,51.6,77.8,0.10000000000000142,0.21999999999999886,0.3400000000000034,3.3592400690846285,1.5077519379844961,1.0,3.359195719964602,1.5069874030364592,1.0,3.3591725541362623,1.5069172737861725,1.0,77.79843635379584,77.7569313273665,77.8,0.016795862770681312,0.007534586368930863,0.005,77.78164049102516,77.74939674099757,77.795,77.81523221656651,77.76446591373544,77.80499999999999,77.76446591373544,77.795,0.03053408626456644,0.00039246897512296196,IGLB,VCLT,2025-09-10,False,4317.0,1936.0,1285.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.1800000000093
23.34,51.99,78.39,0.17999999999999972,0.39000000000000057,0.5900000000000034,3.358611825192802,1.5077899596076167,1.0,3.359124248518441,1.5070308125161076,1.0,3.359195719964602,1.5069874030364592,1.0,78.4036281039738,78.34827508386552,78.39,0.01679597859982301,0.007534937015182296,0.005,78.38683212537399,78.34074014685034,78.385,78.42042408257362,78.3558100208807,78.395,78.3558100208807,78.38683212537399,0.031022104493288793,0.00039574058544825607,IGLB,SPLB,2025-09-11,False,4286.0,1923.0,1276.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.1800000000093
23.28,51.84,78.16,-0.05999999999999872,-0.14999999999999858,-0.23000000000000398,3.3573883161512024,1.507716049382716,1.0,3.358937317871077,1.5071484341012282,1.0,3.359124248518441,1.5070308125161076,1.0,78.2004125055093,78.12447732083503,78.16,0.016795621242592203,0.0075351540625805385,0.005,78.18361688426671,78.11694216677245,78.155,78.2172081267519,78.1320124748976,78.16499999999999,78.1320124748976,78.18361688426671,0.05160440936910504,0.0006602406521123982,IGLB,SPLB,2025-09-12,False,4296.0,1927.0,1279.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,826.1800000000093
23.38,52.08,78.51,0.09999999999999787,0.23999999999999488,0.3500000000000085,3.357998289136014,1.507488479262673,1.0,3.3586890826992315,1.5072689157797394,1.0,3.358937317871077,1.5071484341012282,1.0,78.53195449182577,78.49229044799196,78.51,0.016794686589355387,0.007535742170506141,0.005,78.51515980523642,78.48475470582146,78.50500000000001,78.54874917841512,78.49982619016247,78.515,78.49982619016247,78.51515980523642,0.015333615073956253,0.00019530779612732458,IGLB,SPLB,2025-09-15,False,4279.0,1920.0,1274.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.1800000000093
23.35,52.01,78.42,-0.029999999999997584,-0.07000000000000028,-0.09000000000000341,3.358458244111349,1.507786964045376,1.0,3.3585061559872758,1.5074840050989309,1.0,3.3586890826992315,1.5072689157797394,1.0,78.42539008102706,78.39305630970425,78.42,0.016793445413496158,0.007536344578898698,0.005,78.40859663561356,78.38551996512535,78.415,78.44218352644056,78.40059265428314,78.425,78.40059265428314,78.415,0.014407345716861641,0.00018372029733309923,IGLB,VCLT,2025-09-16,False,4282.0,1922.0,1275.0,0.0,0.0,0.0,,,0.0,0.0,0.0,False,True,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,826.1800000000093
